,placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday,currentStatus,imgUrl,isClaimed,latitude,longitude,query,timestamp,info
0,https://www.google.com/maps/place/Frituur+%27t+Koxke/data=!4m7!3m6!1s0x47c3f70de819a1e3:0x70ad04a034520575!8m2!3d51.2119961!4d4.4356259!16s%2Fg%2F11f3p222qf!19sChIJ46EZ6A33w0cRdQVSNKAErXA,Frituur 't Koxke,4.4,114.0,Frituur,· Dine-in · Takeaway · Delivery,"'s-Herenstraat 25, 2140 Antwerpen, Belgium","6C6P+Q7 Antwerp, Belgium",https://m.facebook.com/pages/category/Restaurant/Frituur-t-koxke-2012460119078007/,,4 PM–12 AM,4 PM–12 AM,4 PM–12 AM,4 PM–12 AM,4 PM–12 AM,4 PM–12 AM,4 PM–12 AM,Closed,https://lh5.googleusercontent.com/p/AF1QipNzOfV8BFBFbV9gF0z3mYrFoiUserLg_PWjEaaH=w408-h306-k-no,True,51.21193749999999,4.435687500000014,"https://www.google.com/maps/search/frituur/@51.2162283,4.3982868,13.46z?entry=ttu",2023-06-19T13:35:21.507Z,
1,https://www.google.com/maps/place/Frituur+%27t+hoekske/data=!4m7!3m6!1s0x47c3f7ff4185aa21:0x1db1f1f6e1d8157!8m2!3d51.2110607!4d4.4342313!16s%2Fg%2F11fwb3001z!19sChIJIaqFQf_3w0cRV4Edbh8f2wE,Frituur 't hoekske,4.1,74.0,Frituur,· Dine-in · Takeaway,"Sterlingerstraat 2, 2140 Antwerpen, Belgium","6C6M+CM Antwerp, Belgium",http://www.frituurthoekskeborgerhout.be/,+32 493 43 19 00,5–10 PM,Closed,5–10 PM,5–10 PM,5 PM–2 AM,5 PM–2 AM,5–10 PM,Closed,https://lh5.googleusercontent.com/p/AF1QipMamgPVJeS1qFNOHJ6IKhQGcGiSHI_V5OshIom9=w408-h306-k-no,True,51.21106249999998,4.434187499999993,"https://www.google.com/maps/search/frituur/@51.2162283,4.3982868,13.46z?entry=ttu",2023-06-19T13:35:28.825Z,
2,https://www.google.com/maps/place/Friturist/data=!4m7!3m6!1s0x47c3f74157c97007:0xbcda80a45fb1ef3c!8m2!3d51.195162!4d4.4446561!16s%2Fg%2F11bxf9xzqw!19sChIJB3DJV0H3w0cRPO-xX6SA2rw,Friturist,4.0,77.0,Frituur,· Dine-in · Takeaway · Delivery,"Passendalestraat 2, 2600 Antwerpen, Belgium","5CWV+3V Antwerp, Belgium",https://www.openingsurengids.be/de-friturist/antwerpen/1,+32 485 61 05 51,9 AM–5 PM,Closed,4:30–10 PM,4:30–10 PM,4:30–10 PM,4:30–10 PM,4:30–10 PM,Open now,https://lh5.googleusercontent.com/p/AF1QipMRV-mOf2FvdVOPp1YGUMmlx2KzMY0jZ6T2e4Kv=w408-h306-k-no,True,51.19518749999999,4.444687500000001,"https://www.google.com/maps/search/frituur/@51.2162283,4.3982868,13.46z?entry=ttu",2023-06-19T13:35:35.516Z,
3,https://www.google.com/maps/place/Frituur+Richard/data=!4m7!3m6!1s0x47c3f70bd0cf6cb3:0x794d689a0fc34664!8m2!3d51.2180902!4d4.436183!16s%2Fg%2F1tfj2b8s!19sChIJs2zP0Av3w0cRZEbDD5poTXk,Frituur Richard,4.1,84.0,Frituur,,"Helmstraat 119, 2140 Antwerpen, Belgium","6C9P+6F Antwerp, Belgium",http://www.frituur-richard.be/,+32 3 235 31 98,4:30–10 PM,5–10 PM,5–9 PM,4:30–10 PM,4:30–10 PM,4:30–10 PM,4:30–10 PM,Closed,https://lh5.googleusercontent.com/p/AF1QipPDYXFSQMXIV5QEvHsMxb2sRw3I6IgfuempjbgT=w408-h305-k-no,False,51.21806249999999,4.436187500000003,"https://www.google.com/maps/search/frituur/@51.2162283,4.3982868,13.46z?entry=ttu",2023-06-19T13:35:43.069Z,
4,https://www.google.com/maps/place/Frituur+den+Hoek+af/data=!4m7!3m6!1s0x47c3f75faf00f937:0xfd5ff6f0bdc23e79!8m2!3d51.2036644!4d4.3917964!16s%2Fg%2F11h5lpsf8p!19sChIJN_kAr1_3w0cReT7CvfD2X_0,Frituur den Hoek af,4.3,51.0,Frituur,· Dine-in · Takeaway · Delivery,"Troonplaats 11, 2018 Antwerpen, Belgium","693R+FP Antwerp, Belgium",https://frituur-den-hoek-af.unipage.eu/,+32 467 87 63 31,Closed,5–11 PM,"12–3 PM, 5–11 PM","12–3 PM, 5–11:30 PM","12–3 PM, 5–11:30 PM",5–11:30 PM,5–11:30 PM,Closed today,https://lh5.googleusercontent.com/p/AF1QipNoJTGDuGGkXLH2iTZD_6XPUVvYRFGp_DAugrGN=w426-h240-k-no,True,51.20368749999999,4.391812499999972,"https://www.google.com/maps/search/frituur/@51.2162283,4.3982868,13.46z?entry=ttu",2023-06-19T13:35:53.517Z,
5,https://www.google.com/maps/place/Frituur+Suikerrui/data=!4m7!3m6!1s0x47c3f6f676b270d1:0x72f8624f6a22c779!8m2!3d51.221029!4d4.3984972!16s%2Fg%2F11bzx28_ww!19sChIJ0XCydvb2w0cRecciak9i-HI,Frituur Suikerrui,3.9,119.0,Frituur,· Dine-in · Takeaway · Delivery,"Suikerrui 25, 2000 Antwerpen, Belgium","69CX+C9 Antwerp, Belgium",https://m.facebook.com/pages/category/Fast-Food-Restaurant/Frituur-suikerrui-834472336578530/,+32 3 233 38 65,Closed,11:30 AM–10 PM,11:30 AM–10 PM,11:30 AM–10 PM,11:30 AM–5 AM,11:30 AM–5 AM,11:30 AM–10 PM,Closed today,https://lh5.googleusercontent.com/p/AF1QipOYvz-92SoLveHEw3WqKL0IVhgln05W-VFpmH6L=w408-h544-k-no,True,51.2210625,4.398437500000014,"https://www.google.com/maps/search/frituur/@51.2162283,4.3982868,13.46z?entry=ttu",2023-06-19T13:36:03.402Z,
6,https://www.google.com/maps/place/Frituur+sateke/data=!4m7!3m6!1s0x47c3f71aad64b9db:0x2dc3ce3c3212cf2f!8m2!3d51.2115632!4d4.4015989!16s%2Fg%2F11rn7zq81s!19sChIJ27lkrRr3w0cRL88SMjzOwy0,Frituur sateke,4.6,22.0,Frituur,· Dine-in · Takeaway · Delivery,"Terninckstraat 5, 2000 Antwerpen, Belgium","6C62+JJ Antwerp, Belgium",,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qW9qwhRsBS2MyRsd7ptlUA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=271.38925&pitch=0&thumbfov=100,True,51.21156249999997,4.401562499999997,"https://www.google.com/maps/search/frituur/@51.2162283,4.3982868,13.46z?entry=ttu",2023-06-19T13:36:13.475Z,
7,https://www.google.com/maps/place/De+Vogelmarkt+Frituur/data=!4m7!3m6!1s0x47c3f6fc63cfcdd1:0xd870194aeb57ad68!8m2!3d51.2129852!4d4.4088754!16s%2Fg%2F11cnbptr0q!19sChIJ0c3PY_z2w0cRaK1X60oZcNg,De Vogelmarkt Frituur,3.9,137.0,Frituur,· Dine-in · Takeaway · Delivery,"Tabakvest 104, 2000 Antwerpen, Belgium","6C75+5H Antwerp, Belgium",,+32 485 55 30 39,4 PM–12 AM,Closed,Closed,4 PM–12 AM,4 PM–1 AM,4 PM–1 AM,4–11 PM,Closed,https://lh5.googleusercontent.com/p/AF1QipN6Eboav6NE_bivoEhqWx80A3qS8paOZHs7a3Kx=w408-h306-k-no,False,51.21293749999997,4.408937499999993,"https://www.google.com/maps/search/frituur/@51.2162283,4.3982868,13.46z?entry=ttu",2023-06-19T13:36:22.212Z,
8,https://www.google.com/maps/place/Frituur+%27t+kroontje/data=!4m7!3m6!1s0x47c3f7926ba73b3b:0x6d26812ab23b4d67!8m2!3d51.2329817!4d4.4531407!16s%2Fg%2F11m_lldg8r!19sChIJOzuna5L3w0cRZ007siqBJm0,Frituur 't kroontje,3.7,31.0,Frituur,· Dine-in,"Meyersstraat 23, 2100 Antwerpen, Belgium","6FM3+57 Antwerp, Belgium",,+32 485 42 73 99,3–11 PM,3–11 PM,Closed,3–11 PM,3 PM–12 AM,3 PM–12 AM,3–11 PM,Open now,https://lh5.googleusercontent.com/p/AF1QipOuN34ry_R8e45_umf3xayUDDUInO_9y6jvvKyO=w408-h544-k-no,True,51.23293749999998,4.453187499999999,"https://www.google.com/maps/search/frituur/@51.2162283,4.3982868,13.46z?entry=ttu",2023-06-19T13:36:29.770Z,
9,https://www.google.com/maps/place/Frituur+%27t+voske/data=!4m7!3m6!1s0x47c3f77e8e0064a3:0xd2b00d527e3a0270!8m2!3d51.1973986!4d4.4525491!16s%2Fg%2F11j0t95bz7!19sChIJo2QAjn73w0cRcAI6flINsNI,Frituur 't voske,4.6,115.0,Frituur,· Dine-in · Takeaway · Delivery,"Vosstraat 34, 2140 Antwerpen, Belgium","5FW3+X2 Antwerp, Belgium",http://frituurtvoske.htonline.be/,+32 3 722 19 90,4:30–9:30 PM,Closed,4:30–9:30 PM,4:30–9:30 PM,4:30–10 PM,4:30–10 PM,4:30–9:30 PM,Closed,https://lh5.googleusercontent.com/p/AF1QipNfgkAnTHxxj4aCgZ7-6B8z38BFXCiCPepEyRBU=w408-h306-k-no,True,51.19743749999999,4.452562499999985,"https://www.google.com/maps/search/frituur/@51.2162283,4.3982868,13.46z?entry=ttu",2023-06-19T13:36:36.590Z,
