placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,latitude,longitude,query,timestamp,monday,tuesday,wednesday,thursday,friday,saturday,sunday,info
https://www.google.com/maps/place/Frituur+Centrum/data=!4m7!3m6!1s0x47c3e7ff33b141ef:0x8d848354f9168176!8m2!3d50.9303232!4d4.4276756!16s%2Fg%2F11bvt4fp7w!19sChIJ70GxM__nw0cRdoEW-VSDhI0,Frituur Centrum,4.4,207,Frituur,· Dine-in · Takeaway · Delivery,"Franklin Rooseveltlaan, 1800 Vilvoorde, Belgium","WCJH+43 Vilvoorde, Belgium",https://shop.easyorderapp.com/frituur-centrum/nl,+32 470 63 04 48,,https://lh5.googleusercontent.com/p/AF1QipPqYqd8yLoBEzpXjSyQQi7npr562tHo5RgsqSJX=w408-h306-k-no,true,50.9303125,4.427687500000005,"https://www.google.com/maps/search/frituur/@50.8639564,4.2922419,12.26z?entry=ttu",2023-06-19T14:47:52.762Z,,,,,,,,
https://www.google.com/maps/place/Frituur+%27t+Pleintje+Borgt/data=!4m7!3m6!1s0x47c3c2a86b4ddb99:0xea9ab057923b93f1!8m2!3d50.9277925!4d4.4103329!16s%2Fg%2F11clvtv9z0!19sChIJmdtNa6jCw0cR8ZM7klewmuo,Frituur 't Pleintje Borgt,4.4,63,Frituur,,"Jozef Van Den Berghestraat, 1850 Grimbergen, Belgium","WCH6+44 Grimbergen, Belgium",https://www.tpleintjeborgt.be/,+32 472 67 30 43,Closed today,https://lh5.googleusercontent.com/p/AF1QipMwSE02zo6GDSetzYcs_1HyKNJ1QEq45AFf8p12=w426-h240-k-no,true,50.9278125,4.410312499999989,"https://www.google.com/maps/search/frituur/@50.8639564,4.2922419,12.26z?entry=ttu",2023-06-19T14:47:58.965Z,Closed,5–9 PM,5–9 PM,5–9 PM,5–9:30 PM,5–9:30 PM,5–9 PM,
https://www.google.com/maps/place/%27%27t+Krokantje%27/data=!4m7!3m6!1s0x47c3c28a2023de41:0xe3d9b68d88a3b452!8m2!3d50.9149492!4d4.3706574!16s%2Fg%2F11cln9kkvy!19sChIJQd4jIIrCw0cRUrSjiI222eM,'t Krokantje,4.6,199,Frituur,· Dine-in · Takeaway · No-contact delivery,"Devoerlaan 78, 1800 Vilvoorde, Belgium","W97C+X7 Vilvoorde, Belgium",https://switch.ezordr.app/frituur-t-krokantje,+32 479 28 41 57,Closed today,https://lh5.googleusercontent.com/p/AF1QipPWk401Ttm5-RhMhNiFifazW0W7x7QHvTGI1YAB=w408-h408-k-no,true,50.91493749999999,4.370687500000017,"https://www.google.com/maps/search/frituur/@50.8639564,4.2922419,12.26z?entry=ttu",2023-06-19T14:48:03.748Z,Closed,Closed,5–9 PM,5–9 PM,5–9:30 PM,5–9 PM,5–9 PM,
https://www.google.com/maps/place/Frituur+Terheide+Vlaams+Brabant+ASSE/data=!4m7!3m6!1s0x47c3bfe96f1c92db:0xaa86afb7bb3adeee!8m2!3d50.9206646!4d4.1711647!16s%2Fg%2F11h110whm5!19sChIJ25Icb-m_w0cR7t46u7evhqo,Frituur Terheide Vlaams Brabant ASSE,4.5,93,Frituur,,"Gentsesteenweg 169 a, 1730 Asse, Belgium","W5CC+7F Asse, Belgium",http://www.frituurterheide.be/,+32 2 309 05 02,Closed today,https://lh5.googleusercontent.com/p/AF1QipMatmSMzY7k_ZkqjQGIJxAaTVPOJykEwOmgTzHD=w408-h306-k-no,true,50.92068750000003,4.171187500000016,"https://www.google.com/maps/search/frituur/@50.8639564,4.2922419,12.26z?entry=ttu",2023-06-19T14:48:08.243Z,Closed,Closed,5–9 PM,5–9 PM,"11:30 AM–1:30 PM, 5–10 PM",5–9 PM,5–9 PM,
https://www.google.com/maps/place/Frituur+Smulkotje/data=!4m7!3m6!1s0x47c3b9bb0dd62689:0xea77a6d19520e2bc!8m2!3d50.8362748!4d4.1732842!16s%2Fg%2F11qqs70nwz!19sChIJiSbWDbu5w0cRvOIgldGmd-o,Frituur Smulkotje,4.3,22,Frituur,,"Schapenstraat 244, 1750 Lennik, Belgium","R5PF+G8 Lennik, Belgium",http://frituursmulkotje.be/,+32 495 38 33 49,,https://lh5.googleusercontent.com/p/AF1QipO6aTeBXPkT3-n2c3oGCHtFj9VGI6Ta1TxO19Vd=w408-h306-k-no,false,50.836312500000005,4.173312500000023,"https://www.google.com/maps/search/frituur/@50.8639564,4.2922419,12.26z?entry=ttu",2023-06-19T14:48:12.740Z,,,,,,,,
https://www.google.com/maps/place/Frituur+1850/data=!4m7!3m6!1s0x47c3c27f540415e1:0x8ca552965a21983!8m2!3d50.9306985!4d4.3653634!16s%2Fg%2F11gcx_68tr!19sChIJ4RUEVH_Cw0cRgxmiZSlVygg,Frituur 1850,4.5,169,Frituur,· Dine-in · Kerbside pickup · Delivery,"Brusselsesteenweg 116, 1850 Grimbergen, Belgium","W9J8+74 Grimbergen, Belgium",https://facebook.com/frituur1850/,,Closed,https://lh5.googleusercontent.com/p/AF1QipM6d4g-33mUNqm89iNm86phU06GyF2xRzTwTTbT=w408-h456-k-no,true,50.93068750000002,4.365312499999973,"https://www.google.com/maps/search/frituur/@50.8639564,4.2922419,12.26z?entry=ttu",2023-06-19T14:48:17.230Z,5:30–9 PM,5:30–9 PM,Closed,5:30–9 PM,5:30–9 PM,5:30–9 PM,5:30–9 PM,
https://www.google.com/maps/place/Frituur+Rosalie/data=!4m7!3m6!1s0x47c3c0c450f6f17d:0x5c8db446a41c55d0!8m2!3d50.8653883!4d4.2449469!16s%2Fg%2F11b6zt23yq!19sChIJffH2UMTAw0cR0FUcpEa0jVw,Frituur Rosalie,4.4,140,Frituur,· Dine-in · Takeaway · Delivery,"Stationsstraat 288, 1700 Dilbeek, Belgium","V68V+5X Dilbeek, Belgium",,+32 2 466 97 77,Closed today,https://lh5.googleusercontent.com/p/AF1QipOPgZWsLsqBcafq-vazIVVTfTsC9vB9uCrnbZJr=w408-h421-k-no,true,50.86543749999997,4.244937499999978,"https://www.google.com/maps/search/frituur/@50.8639564,4.2922419,12.26z?entry=ttu",2023-06-19T14:48:23.096Z,Closed,5–10 PM,"11:30 AM–2 PM, 5–10 PM",5–10 PM,"11:30 AM–2 PM, 5–10:30 PM",5–10 PM,Closed,
https://www.google.com/maps/place/Snack+Frituur+Sofra/data=!4m7!3m6!1s0x47c3c662b0505029:0xe80fa655ca8c984a!8m2!3d50.8078415!4d4.2890966!16s%2Fg%2F1tg6jqb6!19sChIJKVBQsGLGw0cRSpiMylWmD-g,Snack Frituur Sofra,4.3,309,Frituur,· Dine-in · Takeaway,"Félix Wittouckstraat 1, 1600 Sint-Pieters-Leeuw, Belgium","R75Q+4J Sint-Pieters-Leeuw, Belgium",,+32 2 331 45 85,Open now,https://lh5.googleusercontent.com/p/AF1QipMQ9QZq6oVwgnfjfWiioMU9_-ht5Fmt4Oz4MYjt=w408-h306-k-no,true,50.8078125,4.289062499999986,"https://www.google.com/maps/search/frituur/@50.8639564,4.2922419,12.26z?entry=ttu",2023-06-19T14:48:27.693Z,11 AM–11 PM,Closed,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,
https://www.google.com/maps/place/Titi+Friti/data=!4m7!3m6!1s0x47c3dd2372867831:0x61e30c5d660bb4fe!8m2!3d50.8943763!4d4.4357024!16s%2Fg%2F11ggqzjx_n!19sChIJMXiGciPdw0cR_rQLZl0M42E,Titi Friti,4.5,155,Frituur,· Dine-in · Takeaway · Delivery,"A de Cockplein, 1831 Machelen, Belgium","VCVP+Q7 Machelen, Belgium",https://www.titifriti-webshop.be/,+32 2 311 80 08,Closed today,https://lh5.googleusercontent.com/p/AF1QipPcZsxshUSCCbpasGm4Nj08AfUhiG0qBF18S7V7=w408-h306-k-no,true,50.894437499999995,4.435687500000014,"https://www.google.com/maps/search/frituur/@50.8639564,4.2922419,12.26z?entry=ttu",2023-06-19T14:48:32.653Z,Closed,5–10 PM,"11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM",Closed,5–10 PM,
https://www.google.com/maps/place/Frituur+JoJo/data=!4m7!3m6!1s0x47c3c664ec9c249f:0x2e01b66141473fab!8m2!3d50.8020574!4d4.2873075!16s%2Fg%2F11dxcpnmhp!19sChIJnySc7GTGw0cRqz9HQWG2AS4,Frituur JoJo,4.3,301,Fast food restaurant,· Dine-in · Takeaway · Delivery,"Albert van Cotthemstraat 7, 1600 Sint-Pieters-Leeuw, Belgium","R72P+RW Sint-Pieters-Leeuw, Belgium",,+32 498 59 72 12,Closed today,https://lh5.googleusercontent.com/p/AF1QipMxCpBudljRsQHZOTP2VHWOBkxeXK01OshbwbWm=w408-h544-k-no,true,50.80206250000002,4.287312499999999,"https://www.google.com/maps/search/frituur/@50.8639564,4.2922419,12.26z?entry=ttu",2023-06-19T14:48:36.872Z,Closed,"11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM",5–10 PM,5–10 PM,
