placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday,currentStatus,imgUrl,isClaimed,latitude,longitude,query,timestamp,info
https://www.google.be/maps/place/Frituur+%27t+Pleintje/data=!4m7!3m6!1s0x47c373e51f0fb837:0xd4681ef66e869514!8m2!3d51.0286568!4d3.7221821!16s%2Fg%2F11bzx9bhfh!19sChIJN7gPH-Vzw0cRFJWGbvYeaNQ,Frituur 't Pleintje,4.4,192,Frituur,· Dine-in · Takeaway · Delivery,"Zwijnaardsesteenweg 318, 9000 Gent, Belgium","2PHC+FV Ghent, Belgium",https://frituurtpleintje.business.site/,+32 9 324 09 58,"11:30 AM–2 PM, 5–10 PM",Closed,"11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM",5–10 PM,5–10 PM,Closed,https://lh5.googleusercontent.com/p/AF1QipPGiecAqnXiV2N752RCtmoNrFTR50hAKXYdLRPu=w408-h272-k-no,true,51.028687500000004,3.722187500000004,"https://www.google.be/maps/search/frituur/@51.0384582,3.6825155,12.57z?entry=ttu",2023-06-19T13:31:17.821Z,
https://www.google.be/maps/place/Frituur+Tartaar/data=!4m7!3m6!1s0x47c371468b03caaf:0xacc17b941d81ed6e!8m2!3d51.0534102!4d3.7238963!16s%2Fg%2F11g6vgnjyl!19sChIJr8oDi0Zxw0cRbu2BHZR7waw,Frituur Tartaar,4.1,1142,Frituur,· Dine-in · Takeaway · Delivery,"Heilige-Geeststraat 3, 9000 Gent, Belgium","3P3F+9H Ghent, Belgium",https://www.frituurtartaar.be/,+32 467 05 10 02,11:30 AM–10 PM,11:30 AM–10 PM,11:30 AM–10 PM,11:30 AM–10 PM,11:30 AM–10 PM,11:30 AM–10 PM,11:30 AM–10 PM,Open now,https://lh5.googleusercontent.com/p/AF1QipNPkCbgO-r2bG_90HtqPGCN1GFOXM62YI3OCTc=w426-h240-k-no,true,51.053437500000015,3.723937499999991,"https://www.google.be/maps/search/frituur/@51.0384582,3.6825155,12.57z?entry=ttu",2023-06-19T13:31:28.320Z,
https://www.google.be/maps/place/Het+Smulhoekje/data=!4m7!3m6!1s0x47c37755bc051365:0xfb95fc5ceec9f692!8m2!3d51.0800731!4d3.764005!16s%2Fg%2F11qg5bbyh9!19sChIJZRMFvFV3w0cRkvbJ7lz8lfs,Het Smulhoekje,4.2,39,Frituur,· Dine-in · Takeaway,"Onze Lieve Vrouwstraat 1, 9041 Gent, Belgium","3QJ7+2J Ghent, Belgium",http://www.smul-hoekje.be/,+32 479 06 48 05,"11:30 AM–1:30 PM, 5–11 PM",11:30 AM–1:30 PM,Closed,"11:30 AM–1:30 PM, 5–11 PM","11:30 AM–1:30 PM, 5–11:30 PM","11:30 AM–1:30 PM, 5–11:30 PM",5–11 PM,Closed,https://lh5.googleusercontent.com/p/AF1QipMVhWzZBaW-gS30VJ0xmSRkmwHWUNSvJOwJBEo=w408-h544-k-no,false,51.08006250000001,3.76406249999998,"https://www.google.be/maps/search/frituur/@51.0384582,3.6825155,12.57z?entry=ttu",2023-06-19T13:31:35.587Z,
https://www.google.be/maps/place/Frituur+Einde+Were/data=!4m7!3m6!1s0x47c37121d6bf1bbd:0xd97a3c40d5814c7a!8m2!3d51.0521888!4d3.6996945!16s%2Fg%2F11kmwlx1m6!19sChIJvRu_1iFxw0cRekyB1UA8etk,Frituur Einde Were,4.4,95,Frituur,,"Einde Were 73, 9000 Gent, Belgium","3M2X+VV Ghent, Belgium",http://www.frituureindewere.be/,+32 470 18 49 10,"11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–11 PM",4–11 PM,5–10 PM,Closed,https://lh5.googleusercontent.com/p/AF1QipNK6XoUtfcAkStd4DJDNKinLi7mGyWaUh8vl8nE=w408-h272-k-no,true,51.05218750000002,3.6996875000000244,"https://www.google.be/maps/search/frituur/@51.0384582,3.6825155,12.57z?entry=ttu",2023-06-19T13:31:43.273Z,
https://www.google.be/maps/place/frituur+nederkouter/data=!4m7!3m6!1s0x47c3714feb99a4c3:0xa8a0bbdaff7d28ef!8m2!3d51.0464339!4d3.7222607!16s%2Fg%2F11bwyx9lbm!19sChIJw6SZ609xw0cR7yh9_9q7oKg,frituur nederkouter,3.6,182,Frituur,· Dine-in · Takeaway · Delivery,"Nederkouter 145, 9000 Gent, Belgium","2PWC+HW Ghent, Belgium",,+32 472 19 70 70,11:30 AM–11 PM,11:30 AM–11 PM,11:30 AM–11 PM,11:30 AM–11 PM,11:30 AM–11 PM,11:30 AM–11 PM,11:30 AM–11 PM,Open now,https://lh5.googleusercontent.com/p/AF1QipPGK_6TDQNBOoBM7piMWotInDZU3TejuOzuPTQ1=w408-h544-k-no,true,51.04643749999998,3.722312500000001,"https://www.google.be/maps/search/frituur/@51.0384582,3.6825155,12.57z?entry=ttu",2023-06-19T13:31:50.879Z,
https://www.google.be/maps/place/Frituur+Oud+Bareeltje/data=!4m7!3m6!1s0x47c376e3f3a31365:0xb77e697a0e60a751!8m2!3d51.0720298!4d3.7745676!16s%2Fg%2F11cs04ll89!19sChIJZROj8-N2w0cRUadgDnppfrc,Frituur Oud Bareeltje,4.1,277,Frituur,· Dine-in · Takeaway · Delivery,"Antwerpsesteenweg 890, 9040 Gent, Belgium","3QCF+RR Ghent, Belgium",http://frituur-oud-bareeltje.fix.cooldrops-sites.be/nl,+32 487 20 10 25,Closed,5–10 PM,"11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM",Closed today,https://lh5.googleusercontent.com/p/AF1QipOe6hQMp4PJ-YFYwpCzAFUNQ7vxVstlHQrHlC3k=w512-h240-k-no,true,51.07206250000003,3.774562500000016,"https://www.google.be/maps/search/frituur/@51.0384582,3.6825155,12.57z?entry=ttu",2023-06-19T13:31:57.051Z,Identifies as women-owned
https://www.google.be/maps/place/Lina%27s+Friethoek/data=!4m7!3m6!1s0x47c3723bea56d4df:0x808e915af3103a84!8m2!3d51.0238297!4d3.6687316!16s%2Fg%2F11bxbjd000!19sChIJ39RW6jtyw0cRhDoQ81qRjoA,Lina's Friethoek,4.5,167,Frituur,· Dine-in · Takeaway · Delivery,"Loofblommestraat 93, 9051 Gent, Belgium","2MF9+GF Ghent, Belgium",https://www.facebook.com/LinasFriethoek,,Closed,Closed,Closed,5:30–9 PM,"11:30 AM–1:30 PM, 5:30–9 PM",5:30–9 PM,5:30–9 PM,Closed today,https://lh5.googleusercontent.com/p/AF1QipOf05BhRAyhk1ypr5GhEUeLRPc-iLCs9FdIsR4Y=w408-h306-k-no,true,51.02375000000001,3.668750000000017,"https://www.google.be/maps/search/frituur/@51.0384582,3.6825155,12.57z?entry=ttu",2023-06-19T13:32:02.715Z,
https://www.google.be/maps/place/Frituur+Overpoort/data=!4m7!3m6!1s0x47c371575ff2721b:0xabcf8ed12aaa9d00!8m2!3d51.040603!4d3.7254343!16s%2Fg%2F11flkchx2_!19sChIJG3LyX1dxw0cRAJ2qKtGOz6s,Frituur Overpoort,3.0,42,Frituur,· Dine-in · Kerbside pickup · No-contact delivery,"Overpoortstraat 34, 9000 Gent, Belgium","2PRG+65 Ghent, Belgium",https://www.grabawrap.be/contact,,6 PM–5 AM,6 PM–5 AM,6 PM–5 AM,6 PM–5 AM,6 PM–5 AM,Closed,6 PM–5 AM,Closed,https://lh5.googleusercontent.com/p/AF1QipNnOkBcgYjuC0EUQghYC1jdlOEDQQcN5ehw7k8k=w408-h260-k-no,true,51.04056249999998,3.725437499999984,"https://www.google.be/maps/search/frituur/@51.0384582,3.6825155,12.57z?entry=ttu",2023-06-19T13:32:08.794Z,Identifies as women-owned
https://www.google.be/maps/place/Frituur+Luna/data=!4m7!3m6!1s0x47c377a9f758c66f:0xe6908f8810bbc96e!8m2!3d51.0741336!4d3.7522292!16s%2Fg%2F11h_v15gy8!19sChIJb8ZY96l3w0cRbsm7EIiPkOY,Frituur Luna,4.8,83,Frituur,· Dine-in · Takeaway · Delivery,"Sint-Bernadettestraat 191, 9000 Gent, Belgium","3QF2+MV Ghent, Belgium",http://www.frituur-luna.be/,+32 9 230 94 04,Closed,Closed,5–9 PM,5–9 PM,5–9:30 PM,5–9:30 PM,5–9 PM,Closed today,https://lh5.googleusercontent.com/p/AF1QipMLgb4ryS1mQhG6wZC57EsubBawx9na50nDSd0H=w426-h240-k-no,true,51.07418750000001,3.752187500000005,"https://www.google.be/maps/search/frituur/@51.0384582,3.6825155,12.57z?entry=ttu",2023-06-19T13:32:14.660Z,
https://www.google.be/maps/place/Frituur+De+Frietschap+Brugsesteenweg/data=!4m7!3m6!1s0x47c3710983dcdd3d:0x8d127a016998c513!8m2!3d51.0641098!4d3.6941035!16s%2Fg%2F11c0qg_dlx!19sChIJPd3cgwlxw0cRE8WYaQF6Eo0,Frituur De Frietschap Brugsesteenweg,4.5,185,Frituur,· Dine-in · Takeaway · Delivery,"Brugsesteenweg 38b, 9000 Gent, Belgium","3M7V+JJ Ghent, Belgium",http://www.defrietschap.be/,+32 484 05 04 34,"11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM",Closed,5–10 PM,Closed,https://lh5.googleusercontent.com/p/AF1QipOqf4IPpIDmeC_LwMj2XVe7CPsvAW49EFo-bpys=w408-h305-k-no,true,51.06406249999999,3.694062499999987,"https://www.google.be/maps/search/frituur/@51.0384582,3.6825155,12.57z?entry=ttu",2023-06-19T13:32:21.495Z,
https://www.google.be/maps/place/Frituur+Gent+Zuid+2.0/data=!4m7!3m6!1s0x47c37193fd7cace7:0x3e6ea73eb81c6fb2!8m2!3d51.0493017!4d3.731004!16s%2Fg%2F11fvw522lt!19sChIJ56x8_ZNxw0cRsm8cuD6nbj4,Frituur Gent Zuid 2.0,3.1,22,Frituur,· Dine-in · Takeaway,"Vlaanderenstraat 113, 9000 Gent, Belgium","2PXJ+PC Ghent, Belgium",https://facebook.com/FrituurGentZuid/,+32 9 311 42 52,Closed,Closed,Closed,"12–2 PM, 5:30–10 PM","12–2 PM, 5:30–10 PM","12–2 PM, 5:30–10 PM",5–10 PM,Closed today,https://lh5.googleusercontent.com/p/AF1QipPjTL1sFVoRdlZz2pYxOl9xFZsmYdHUGvqPo9A9=w408-h408-k-no,true,51.0493125,3.731062499999993,"https://www.google.be/maps/search/frituur/@51.0384582,3.6825155,12.57z?entry=ttu",2023-06-19T13:32:28.750Z,
