placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday,currentStatus,imgUrl,isClaimed,latitude,longitude,query,timestamp,info
https://www.google.com/maps/place/Frituur+%27t+Hoeksje/data=!4m7!3m6!1s0x47dcaec343dec1ed:0xf88e0eb5743d41ec!8m2!3d51.2096564!4d2.9301546!16s%2Fg%2F11bxfmyvxd!19sChIJ7cHeQ8Ou3EcR7EE9dLUOjvg,Frituur 't Hoeksje,4.3,160,Fast food restaurant,· Dine-in · Takeout · Delivery,"Zilverlaan 316, 8400 Oostende, Belgium","6W5J+V3 Ostend, Belgium",,+32 477 37 54 63,Closed,"11:30 AM–1:30 PM, 5:30–11 PM","11:30 AM–1:30 PM, 5:30–11 PM","11:30 AM–1:30 PM, 5:30–11 PM","11:30 AM–1:30 PM, 5:30 PM–12 AM","11:30 AM–1:30 PM, 5:30–11 PM",Closed,Closed today,https://lh5.googleusercontent.com/p/AF1QipN4S_SNh9h9fXb1v3U16D3Repq3XD-3i2gL_-4O=w408-h270-k-no,false,51.20968749999999,2.9301875000000024,"https://www.google.com/maps/search/frituur/@51.131114,2.7040715,11.37z?entry=ttu",2023-06-19T14:10:40.745Z,
https://www.google.com/maps/place/Frituur+De+Maretak/data=!4m7!3m6!1s0x47dc9685df1a6de1:0x3c0b5de3b28e5de9!8m2!3d51.0758894!4d2.6031455!16s%2Fg%2F1tv3mz90!19sChIJ4W0a34WW3EcR6V2OsuNdCzw,Frituur De Maretak,4.6,329,Frituur,· Dine-in · Takeout · Delivery,"Stationsstraat 6, 8660 De Panne, Belgium","3JG3+97 De Panne, Belgium",https://www.frituurdemaretak.be/,+32 58 41 10 55,Closed,Closed,"11:30 AM–2 PM, 5:30–9 PM","11:30 AM–2 PM, 5:30–9 PM","11:30 AM–2 PM, 5:30–9 PM","11:30 AM–2 PM, 5:30–9 PM","11:30 AM–2 PM, 5:30–9 PM",Closed today,https://lh5.googleusercontent.com/p/AF1QipMY3uif0EMj9rkTXyGdFZE1ZIIUzFBT3QPFWva6=w444-h240-k-no,true,51.07593750000002,2.603187500000004,"https://www.google.com/maps/search/frituur/@51.131114,2.7040715,11.37z?entry=ttu",2023-06-19T14:10:49.354Z,
https://www.google.com/maps/place/t%27koningsplein+Frituur+%26+snack/data=!4m7!3m6!1s0x47dc96e9d9bc7785:0x33b3b1d30d35b331!8m2!3d51.0952714!4d2.5872233!16s%2Fg%2F119tk6w_b!19sChIJhXe82emW3EcRMbM1DdOxszM,t'koningsplein Frituur & snack,4.0,151,Frituur,· Dine-in · Takeout · Delivery,"Koningsplein De Panne, 8660 De Panne, Belgium","3HWP+4V De Panne, Belgium",https://frituur-koningsplein.unipage.eu/,+32 491 08 02 26,Closed,"11:30 AM–1:30 PM, 5:30–9 PM","11:30 AM–1:30 PM, 5:30–9 PM",Closed,"11:30 AM–1:30 PM, 5:30–9 PM","11:30 AM–1:30 PM, 5:30–9 PM","11:30 AM–1:30 PM, 5:30–9 PM",Closed today,https://lh5.googleusercontent.com/p/AF1QipO8DFmtF2mGTHrvgDEbIMJgaOlNkuZnurjpvCZ2=w408-h544-k-no,true,51.09531249999999,2.587187500000013,"https://www.google.com/maps/search/frituur/@51.131114,2.7040715,11.37z?entry=ttu",2023-06-19T14:10:53.853Z,
https://www.google.com/maps/place/Ruby+frituur/data=!4m7!3m6!1s0x47dcaf30ed246933:0x8c2eb0a24412fbc8!8m2!3d51.2179638!4d2.8950567!16s%2Fg%2F11h53r0bvn!19sChIJM2kk7TCv3EcRyPsSRKKwLow,Ruby frituur,3.4,24,Frituur,· Dine-in · Curbside pickup · Delivery,"Dokter Verhaeghestraat 152, 8400 Oostende, Belgium","6V9W+52 Ostend, Belgium",,+32 59 44 28 11,10 AM–1:30 AM,10 AM–1:30 AM,10 AM–1:30 AM,10 AM–1:30 AM,10 AM–1:30 AM,10 AM–1:30 AM,10 AM–1:30 AM,Open now,https://lh5.googleusercontent.com/p/AF1QipPv01d8e3uG40Yi1Vl4OqC8Or-EAwpbjjPl05Tx=w408-h432-k-no,true,51.21793749999999,2.8950624999999803,"https://www.google.com/maps/search/frituur/@51.131114,2.7040715,11.37z?entry=ttu",2023-06-19T14:10:58.688Z,
https://www.google.com/maps/place/Frituur+Smul/data=!4m7!3m6!1s0x47dcaf2f1941a705:0x7ea026968c859e70!8m2!3d51.2187693!4d2.909564!16s%2Fg%2F1v2d_spr!19sChIJBadBGS-v3EcRcJ6FjJYmoH4,Frituur Smul,4.5,270,Frituur,· Dine-in · Takeout · Delivery,"Leffingestraat 108, 8400 Oostende, Belgium","6W95+GR Ostend, Belgium",https://www.facebook.com/FrituurSmul.Oostende,+32 497 40 34 05,Closed,Closed,Closed,5–11 PM,"11:30 AM–1:30 PM, 5–11 PM",5–11 PM,5–11 PM,Closed today,https://lh5.googleusercontent.com/p/AF1QipMH4R-WHF60a28RWeunqHm2_Rhz8sIm9ZYQiFqn=w408-h306-k-no,true,51.2188125,2.909562500000007,"https://www.google.com/maps/search/frituur/@51.131114,2.7040715,11.37z?entry=ttu",2023-06-19T14:11:02.971Z,
https://www.google.com/maps/place/Frituur+%C2%B4t+hoeksje/data=!4m7!3m6!1s0x47dcab4aa05a5bf1:0xa4db1330ac905db0!8m2!3d51.2348168!4d2.9727685!16s%2Fg%2F11fn0d9ngp!19sChIJ8VtaoEqr3EcRsF2QrDAT26Q,Frituur ´t hoeksje,4.6,259,Frituur,· Dine-in · Takeout · Delivery,"Duinenstraat 4, 8450 Bredene, Belgium","6XMF+W4 Bredene, Belgium",https://www.facebook.com/Frituur-Thoeksje-240006946060064,,Closed,5:30–9 PM,"11:30 AM–1:30 PM, 5:30–9 PM","11:30 AM–1:30 PM, 5:30–9 PM","11:30 AM–1:30 PM, 5:30–9 PM","11:30 AM–1:30 PM, 5:30–9 PM","11:30 AM–1:30 PM, 5:30–9 PM",Closed today,https://lh5.googleusercontent.com/p/AF1QipPcAUooDZrRo7_mLBXaXquF5PuYINvQduFZ0Tc=w424-h240-k-no,true,51.23481249999999,2.972812499999989,"https://www.google.com/maps/search/frituur/@51.131114,2.7040715,11.37z?entry=ttu",2023-06-19T14:11:08.571Z,
https://www.google.com/maps/place/Frituur+ALL-IN/data=!4m7!3m6!1s0x47dca4ff9ab64705:0xbf1c9a1fa9e6d65d!8m2!3d51.1867917!4d2.8135437!16s%2Fg%2F11dxmp8xqq!19sChIJBUe2mv-k3EcRXdbmqR-aHL8,Frituur ALL-IN,4.1,232,Frituur,· Dine-in · Takeout · Delivery,"Leopoldlaan 69, 8430 Middelkerke, Belgium","5RP7+PC Middelkerke, Belgium",https://frituur-all-in.business.site/?utm_source=gmb&utm_medium=referral,+32 472 56 82 80,11:30 AM–9 PM,11:30 AM–9:30 PM,11:30 AM–9:30 PM,11:30 AM–9:30 PM,11:30 AM–10 PM,11:30 AM–10 PM,11:30 AM–9 PM,Open now,https://lh5.googleusercontent.com/p/AF1QipOB8EoejxhiNxOx4YBGjKFWXipeTs-4m322L_E=w408-h344-k-no,true,51.18681249999999,2.8135625000000033,"https://www.google.com/maps/search/frituur/@51.131114,2.7040715,11.37z?entry=ttu",2023-06-19T14:11:13.590Z,
https://www.google.com/maps/place/Frituur+%27t+Spoor/data=!4m7!3m6!1s0x47dcb9db805db791:0x341ed64466d7f5be!8m2!3d51.0352!4d2.8405619!16s%2Fg%2F11g9q73vn5!19sChIJkbddgNu53EcRvvXXZkTWHjQ,Frituur 't Spoor,4.5,144,Frituur,· Dine-in · Takeout · Delivery,"Kaaskerkestraat 83, 8600 Diksmuide, Belgium","2RPR+36 Diksmuide, Belgium",,+32 51 55 53 07,Closed,Closed,Closed,"11:30 AM–1:30 PM, 5:30–9 PM","11:30 AM–1:30 PM, 5:30–9 PM","11:30 AM–1:30 PM, 5:30–9 PM","11:30 AM–1:30 PM, 5:30–8:30 PM",Closed today,https://lh5.googleusercontent.com/p/AF1QipPDgULoi1e2T3wyUUWi4Y81kYX6r44y1-l2xxZ5=w426-h240-k-no,true,51.03518749999999,2.84056249999999,"https://www.google.com/maps/search/frituur/@51.131114,2.7040715,11.37z?entry=ttu",2023-06-19T14:11:17.869Z,
https://www.google.com/maps/place/Puur+Frituur/data=!4m7!3m6!1s0x47dca5a27f6fcf4d:0x9306fdb4d3bbcdce!8m2!3d51.1945339!4d2.8412094!16s%2Fg%2F11gh04fxj2!19sChIJTc9vf6Kl3EcRzs2707T9BpM,Puur Frituur,4.2,147,Frituur,· Dine-in · Takeout · Delivery,"Oostendelaan 253, 8430 Middelkerke, Belgium","5RVR+RF Middelkerke, Belgium",https://www.facebook.com/PUURFrituurMiddelkerke/,+32 485 74 24 02,Closed,Closed,Closed,"11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM",Closed today,https://lh5.googleusercontent.com/p/AF1QipM0wkmsBEJJa2HadlORFBXrjC2DBUYU4_cGa5Ly=w426-h240-k-no,true,51.1945625,2.8411875000000038,"https://www.google.com/maps/search/frituur/@51.131114,2.7040715,11.37z?entry=ttu",2023-06-19T14:11:22.500Z,
https://www.google.com/maps/place/Frituur+Il+Mare/data=!4m7!3m6!1s0x47dc9732f0af6859:0xd5bc8567f9386ac0!8m2!3d51.1211548!4d2.6349126!16s%2Fg%2F11g2_94dm2!19sChIJWWiv8DKX3EcRwGo4-WeFvNU,Frituur Il Mare,3.6,68,Frituur,,"Zeedijk 325, 8670 Koksijde, Belgium","4JCM+FX Koksijde, Belgium",,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMeAp4bxoL5hyQ2Qt4e3LsWjX4O2rxqThkAEpmz=w408-h307-k-no,false,51.121187500000005,2.6349374999999924,"https://www.google.com/maps/search/frituur/@51.131114,2.7040715,11.37z?entry=ttu",2023-06-19T14:11:27.451Z,
https://www.google.com/maps/place/Frituur+D-Licious/data=!4m7!3m6!1s0x47dca926ac941b41:0x4e8727b02add1f34!8m2!3d51.2432869!4d2.9651789!16s%2Fg%2F11fkr3bfhy!19sChIJQRuUrCap3EcRNB_dKrAnh04,Frituur D-Licious,4.6,94,Frituur,,"Duinenstraat 210, 8450 Bredene, Belgium","6XV8+83 Bredene, Belgium",,+32 491 36 63 28,5:30–8:30 PM,Closed,Closed,5:30–8:30 PM,5:30–9 PM,5:30–8:30 PM,5:30–8:30 PM,Closed,https://lh5.googleusercontent.com/p/AF1QipO-LejL_sZw7Kuh_nJQMVfPxUTqZ2CkhACrFgls=w408-h306-k-no,true,51.24331249999999,2.9651874999999706,"https://www.google.com/maps/search/frituur/@51.131114,2.7040715,11.37z?entry=ttu",2023-06-19T14:11:32.662Z,
https://www.google.com/maps/place/Frituur+Markt+De+Panne/data=!4m7!3m6!1s0x47dc97b2c98fec21:0x5544749ee5c0ec11!8m2!3d51.0988853!4d2.5916593!16s%2Fg%2F11qnhykq83!19sChIJIeyPybKX3EcREezA5Z50RFU,Frituur Markt De Panne,3.9,149,Frituur,· Dine-in · Takeout · Delivery,"Zeelaan 73, 8660 De Panne, Belgium","3HXR+HM De Panne, Belgium",https://www.frituurmarktdepanne.be/,,"11:30 AM–2 PM, 5:30–9 PM","11:30 AM–2 PM, 5:30–9 PM","11:30 AM–2 PM, 5:30–9 PM",Closed,"11:30 AM–2 PM, 5:30–9 PM","11:30 AM–2 PM, 5:30–9 PM","11:30 AM–2 PM, 5:30–9 PM",Closed,https://lh5.googleusercontent.com/p/AF1QipNrASJAnQeMM1B1cX7iyHMt3JZDRbDzW0EZhzUY=w408-h306-k-no,true,51.09893750000002,2.591687499999992,"https://www.google.com/maps/search/frituur/@51.131114,2.7040715,11.37z?entry=ttu",2023-06-19T14:11:37.356Z,
https://www.google.com/maps/place/Frituur+COLYNY/data=!4m7!3m6!1s0x47dcbdfafc9629c3:0xd947ac54091a1e41!8m2!3d51.0735606!4d2.6678407!16s%2Fg%2F1pxw9jtbm!19sChIJwymW_Pq93EcRQR4aCVSsR9k,Frituur COLYNY,4.3,324,Frituur,· Dine-in · Curbside pickup · No-contact delivery,"Nieuwpoortkeiweg 2, 8630 Veurne, Belgium","3MF9+C4 Veurne, Belgium",https://www.frituurcolyny.be/,+32 58 31 68 20,Closed,Closed,"11 AM–2 PM, 5–10 PM","11 AM–2 PM, 5–10 PM","11 AM–2 PM, 5–10 PM","11 AM–2 PM, 5–10 PM","11 AM–2 PM, 5–10 PM",Closed today,https://lh5.googleusercontent.com/p/AF1QipN0YfIQoMZAwWCUSqmib7zoqcnYfHLg48PwLNpm=w408-h272-k-no,true,51.07356250000002,2.667812500000011,"https://www.google.com/maps/search/frituur/@51.131114,2.7040715,11.37z?entry=ttu",2023-06-19T14:11:42.259Z,LGBTQ+ friendly
https://www.google.com/maps/place/Frituur+WAZ/data=!4m7!3m6!1s0x47dcaf447272aad3:0xbb3c81ba1bf0aaa0!8m2!3d51.1761708!4d2.8773769!16s%2Fg%2F11q8v529jj!19sChIJ06pyckSv3EcRoKrwG7qBPLs,Frituur WAZ,4.4,28,Frituur,· Dine-in · Takeout · Delivery,"Dorpsstraat 88, 8432 Middelkerke, Belgium","5VGG+FX Middelkerke, Belgium",http://www.frituurwaz.be/,,Closed,Closed,"11:30 AM–1:30 PM, 5:30–9 PM","11:30 AM–1:30 PM, 5:30–9 PM","11:30 AM–1:30 PM, 5:30–10 PM","11:30 AM–1:30 PM, 5:30–10 PM","11:30 AM–1:30 PM, 5:30–10 PM",Closed today,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fyJ5fhcfrjAFhAWn2Dty8Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=46.69626&pitch=0&thumbfov=100,false,51.17618750000001,2.877437499999999,"https://www.google.com/maps/search/frituur/@51.131114,2.7040715,11.37z?entry=ttu",2023-06-19T14:11:46.707Z,
https://www.google.com/maps/place/Frituur+Franky/data=!4m7!3m6!1s0x47dca8d3402a2d29:0xec0302fc3274ee82!8m2!3d51.2283651!4d2.9110196!16s%2Fg%2F1tgcxb6q!19sChIJKS0qQNOo3EcRgu50MvwCA-w,Frituur Franky,4.5,1261,Frituur,· Dine-in · Takeout · No-contact delivery,"Karel Janssenslaan 53, 8400 Oostende, Belgium","6WH6+8C Ostend, Belgium",https://www.frituurfranky.be/,+32 59 41 26 95,Closed,"11:30 AM–2 PM, 5:30–10 PM","11:30 AM–2 PM, 5:30–10 PM","11:30 AM–2 PM, 5:30–10 PM","11:30 AM–2 PM, 5:30–10 PM","11:30 AM–2 PM, 5–10 PM",5–10 PM,Closed today,https://lh5.googleusercontent.com/p/AF1QipNLWQ4UfrrFQicbEq-Umd7lKmGrPtQQp2YLMOE=w408-h272-k-no,true,51.2283125,2.9110625,"https://www.google.com/maps/search/frituur/@51.131114,2.7040715,11.37z?entry=ttu",2023-06-19T14:11:51.188Z,LGBTQ+ friendly
https://www.google.com/maps/place/Frituur+Hazegras+Afhalen+%26+Thuislevering/data=!4m7!3m6!1s0x47dcaed4a410dec9:0x2a9d7acb46059086!8m2!3d51.2258706!4d2.9241109!16s%2Fg%2F12hq51f4f!19sChIJyd4QpNSu3EcRhpAFRst6nSo,Frituur Hazegras Afhalen & Thuislevering,3.9,391,Frituur,· Dine-in · Curbside pickup · No-contact delivery,"Graaf de Smet de Naeyerlaan 20, 8400 Oostende, Belgium","6WGF+8J Ostend, Belgium",http://www.frituurhazegras.be/,+32 59 70 77 35,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipN6C6lTJFeO-PAAs5isp5rU5wUlcwqBtVDeNkEs=w408-h240-k-no-pi-0-ya69.6437-ro-0-fo100,true,51.2258125,2.924062500000005,"https://www.google.com/maps/search/frituur/@51.131114,2.7040715,11.37z?entry=ttu",2023-06-19T14:11:56.745Z,
https://www.google.com/maps/place/%27%27t+Frietje+Koksijde%27/data=!4m7!3m6!1s0x47dc974ccd468001:0x67b6c8a0f1967c7b!8m2!3d51.1141069!4d2.6408272!16s%2Fg%2F1v26lcs9!19sChIJAYBGzUyX3EcRe3yW8aDItmc,'t Frietje Koksijde,4.3,398,Frituur,· Dine-in · Takeout · Delivery,"Zeelaan 150, 8670 Koksijde, Belgium","4J7R+J8 Koksijde, Belgium",https://www.facebook.com/Frituur-t-Frietje-Koksijde-1055719897930016/,+32 496 46 05 13,Closed,Closed,5:30–9 PM,"11:45 AM–1:30 PM, 5:30–9 PM","11:45 AM–1:30 PM, 5:30–9 PM","11:45 AM–1:30 PM, 5:30–9 PM","11:45 AM–1:30 PM, 5:30–9 PM",Closed today,https://lh5.googleusercontent.com/p/AF1QipPjqtSy15Y1O3RJTyYCU0_8267ENTHBE3mW5h3P=w426-h240-k-no,true,51.114062499999974,2.6408124999999956,"https://www.google.com/maps/search/frituur/@51.131114,2.7040715,11.37z?entry=ttu",2023-06-19T14:12:01.566Z,LGBTQ+ friendly
