placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday,currentStatus,imgUrl,isClaimed,latitude,longitude,query,timestamp,info
https://www.google.be/maps/place/Frituur+%27t+Pleintje/data=!4m7!3m6!1s0x47c373e51f0fb837:0xd4681ef66e869514!8m2!3d51.0286568!4d3.7221821!16s%2Fg%2F11bzx9bhfh!19sChIJN7gPH-Vzw0cRFJWGbvYeaNQ,Frituur 't Pleintje,4.4,192,Frituur,· Dine-in · Takeaway · Delivery,"Zwijnaardsesteenweg 318, 9000 Gent, Belgium","2PHC+FV Ghent, Belgium",https://frituurtpleintje.business.site/,+32 9 324 09 58,"11:30 AM–2 PM, 5–10 PM",Closed,"11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM",5–10 PM,5–10 PM,Closed,https://lh5.googleusercontent.com/p/AF1QipPGiecAqnXiV2N752RCtmoNrFTR50hAKXYdLRPu=w408-h272-k-no,true,51.028687500000004,3.722187500000004,"https://www.google.be/maps/search/frituur/@51.0717163,4.0089376,11.03z?entry=ttu",2023-06-19T13:12:16.521Z,
https://www.google.be/maps/place/Frituur+Tartaar/data=!4m7!3m6!1s0x47c371468b03caaf:0xacc17b941d81ed6e!8m2!3d51.0534102!4d3.7238963!16s%2Fg%2F11g6vgnjyl!19sChIJr8oDi0Zxw0cRbu2BHZR7waw,Frituur Tartaar,4.1,1142,Frituur,· Dine-in · Takeaway · Delivery,"Heilige-Geeststraat 3, 9000 Gent, Belgium","3P3F+9H Ghent, Belgium",https://www.frituurtartaar.be/,+32 467 05 10 02,11:30 AM–10 PM,11:30 AM–10 PM,11:30 AM–10 PM,11:30 AM–10 PM,11:30 AM–10 PM,11:30 AM–10 PM,11:30 AM–10 PM,Open now,https://lh5.googleusercontent.com/p/AF1QipNPkCbgO-r2bG_90HtqPGCN1GFOXM62YI3OCTc=w426-h240-k-no,true,51.053437500000015,3.723937499999991,"https://www.google.be/maps/search/frituur/@51.0717163,4.0089376,11.03z?entry=ttu",2023-06-19T13:12:25.265Z,
https://www.google.be/maps/place/Frituur+Einde+Were/data=!4m7!3m6!1s0x47c37121d6bf1bbd:0xd97a3c40d5814c7a!8m2!3d51.0521888!4d3.6996945!16s%2Fg%2F11kmwlx1m6!19sChIJvRu_1iFxw0cRekyB1UA8etk,Frituur Einde Were,4.4,95,Frituur,,"Einde Were 73, 9000 Gent, Belgium","3M2X+VV Ghent, Belgium",http://www.frituureindewere.be/,+32 470 18 49 10,"11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–11 PM",4–11 PM,5–10 PM,Closed,https://lh5.googleusercontent.com/p/AF1QipNK6XoUtfcAkStd4DJDNKinLi7mGyWaUh8vl8nE=w408-h272-k-no,true,51.05218750000002,3.6996875000000244,"https://www.google.be/maps/search/frituur/@51.0717163,4.0089376,11.03z?entry=ttu",2023-06-19T13:12:33.816Z,
https://www.google.be/maps/place/frituur+nederkouter/data=!4m7!3m6!1s0x47c3714feb99a4c3:0xa8a0bbdaff7d28ef!8m2!3d51.0464339!4d3.7222607!16s%2Fg%2F11bwyx9lbm!19sChIJw6SZ609xw0cR7yh9_9q7oKg,frituur nederkouter,3.6,182,Frituur,· Dine-in · Takeaway · Delivery,"Nederkouter 145, 9000 Gent, Belgium","2PWC+HW Ghent, Belgium",,+32 472 19 70 70,11:30 AM–11 PM,11:30 AM–11 PM,11:30 AM–11 PM,11:30 AM–11 PM,11:30 AM–11 PM,11:30 AM–11 PM,11:30 AM–11 PM,Open now,https://lh5.googleusercontent.com/p/AF1QipPGK_6TDQNBOoBM7piMWotInDZU3TejuOzuPTQ1=w408-h544-k-no,true,51.04643749999998,3.722312500000001,"https://www.google.be/maps/search/frituur/@51.0717163,4.0089376,11.03z?entry=ttu",2023-06-19T13:12:41.156Z,
https://www.google.be/maps/place/Frituur+Oud+Bareeltje/data=!4m7!3m6!1s0x47c376e3f3a31365:0xb77e697a0e60a751!8m2!3d51.0720298!4d3.7745676!16s%2Fg%2F11cs04ll89!19sChIJZROj8-N2w0cRUadgDnppfrc,Frituur Oud Bareeltje,4.1,277,Frituur,· Dine-in · Takeaway · Delivery,"Antwerpsesteenweg 890, 9040 Gent, Belgium","3QCF+RR Ghent, Belgium",http://frituur-oud-bareeltje.fix.cooldrops-sites.be/nl,+32 487 20 10 25,Closed,5–10 PM,"11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM",Closed today,https://lh5.googleusercontent.com/p/AF1QipOe6hQMp4PJ-YFYwpCzAFUNQ7vxVstlHQrHlC3k=w512-h240-k-no,true,51.07206250000003,3.774562500000016,"https://www.google.be/maps/search/frituur/@51.0717163,4.0089376,11.03z?entry=ttu",2023-06-19T13:12:47.769Z,Identifies as women-owned
https://www.google.be/maps/place/Frituur+Het+Hoekske/data=!4m7!3m6!1s0x47c38fa4f2876f71:0x6f44e86d453b408a!8m2!3d51.174883!4d4.1199391!16s%2Fg%2F11h8kvkz6v!19sChIJcW-H8qSPw0cRikA7RW3oRG8,Frituur Het Hoekske,3.3,56,Frituur,· Dine-in · Takeaway · Delivery,"Mispelstraat 1, 9100 Sint-Niklaas, Belgium","54F9+XX Sint-Niklaas, Belgium",http://www.frituurhethoekske.be/,+32 3 283 47 77,5–10 PM,5–10 PM,Closed,5–10 PM,5–10 PM,5–10 PM,5–10 PM,Closed,https://lh5.googleusercontent.com/p/AF1QipPP0QotoVFH-9S3DW3hI0ru4fohMTw0GxQsHh4=w426-h240-k-no,true,51.17493750000001,4.119937500000006,"https://www.google.be/maps/search/frituur/@51.0717163,4.0089376,11.03z?entry=ttu",2023-06-19T13:12:55.737Z,
https://www.google.be/maps/place/Frituur+%27t+Kotje/data=!4m7!3m6!1s0x47c3a029392a0d59:0x83eee4647400d285!8m2!3d50.9441858!4d3.8660578!16s%2Fg%2F1pp2ty5rb!19sChIJWQ0qOSmgw0cRhdIAdGTk7oM,Frituur 't Kotje,4.7,63,Frituur,,"Sint-Antoniusstraat 1A, 9520 Sint-Lievens-Houtem, Belgium","WVV8+MC Sint-Lievens-Houtem, Belgium",,,Closed,Closed,Closed,Closed,"11:30 AM–1:30 PM, 5–9 PM",5:30–9 PM,6–9 PM,Closed today,https://lh5.googleusercontent.com/p/AF1QipNWzYE3qb-QYXGXeVcLqRtKuj8jO9mVt-aS7Nac=w408-h544-k-no,true,50.944187499999984,3.866062499999984,"https://www.google.be/maps/search/frituur/@51.0717163,4.0089376,11.03z?entry=ttu",2023-06-19T13:13:04.999Z,
https://www.google.be/maps/place/Frituur+Overpoort/data=!4m7!3m6!1s0x47c371575ff2721b:0xabcf8ed12aaa9d00!8m2!3d51.040603!4d3.7254343!16s%2Fg%2F11flkchx2_!19sChIJG3LyX1dxw0cRAJ2qKtGOz6s,Frituur Overpoort,3.0,42,Frituur,· Dine-in · Kerbside pickup · No-contact delivery,"Overpoortstraat 34, 9000 Gent, Belgium","2PRG+65 Ghent, Belgium",https://www.grabawrap.be/contact,,6 PM–5 AM,6 PM–5 AM,6 PM–5 AM,6 PM–5 AM,6 PM–5 AM,Closed,6 PM–5 AM,Closed,https://lh5.googleusercontent.com/p/AF1QipNnOkBcgYjuC0EUQghYC1jdlOEDQQcN5ehw7k8k=w408-h260-k-no,true,51.04056249999998,3.725437499999984,"https://www.google.be/maps/search/frituur/@51.0717163,4.0089376,11.03z?entry=ttu",2023-06-19T13:13:12.249Z,Identifies as women-owned
https://www.google.be/maps/place/Den+Dam/data=!4m7!3m6!1s0x47c39b2fe9294def:0x9c6b0c2a419db37e!8m2!3d51.102254!4d3.9845313!16s%2Fg%2F11c1lynl5b!19sChIJ700p6S-bw0cRfrOdQSoMa5w,Den Dam,4.6,180,Frituur,· Dine-in · Takeaway · Delivery,"Kleine Dam 48, 9160 Lokeren, Belgium","4X2M+WR Lokeren, Belgium",http://www.frituurdendam.be/,+32 488 76 25 90,"11:30 AM–1:30 PM, 5–11 PM","11:30 AM–1:30 PM, 5–11 PM","11:30 AM–1:30 PM, 5–11 PM","11:30 AM–1:30 PM, 5–11 PM","11:30 AM–1:30 PM, 5–10 PM",Closed,Closed,Closed,https://lh5.googleusercontent.com/p/AF1QipOL44UHwQNim1Rh9lU6Eec24ghrzIOHi9jLTUhc=w426-h240-k-no,false,51.1023125,3.9845624999999956,"https://www.google.be/maps/search/frituur/@51.0717163,4.0089376,11.03z?entry=ttu",2023-06-19T13:13:20.116Z,
https://www.google.be/maps/place/Frituur+Luna/data=!4m7!3m6!1s0x47c377a9f758c66f:0xe6908f8810bbc96e!8m2!3d51.0741336!4d3.7522292!16s%2Fg%2F11h_v15gy8!19sChIJb8ZY96l3w0cRbsm7EIiPkOY,Frituur Luna,4.8,83,Frituur,· Dine-in · Takeaway · Delivery,"Sint-Bernadettestraat 191, 9000 Gent, Belgium","3QF2+MV Ghent, Belgium",http://www.frituur-luna.be/,+32 9 230 94 04,Closed,Closed,5–9 PM,5–9 PM,5–9:30 PM,5–9:30 PM,5–9 PM,Closed today,https://lh5.googleusercontent.com/p/AF1QipMLgb4ryS1mQhG6wZC57EsubBawx9na50nDSd0H=w426-h240-k-no,true,51.07418750000001,3.752187500000005,"https://www.google.be/maps/search/frituur/@51.0717163,4.0089376,11.03z?entry=ttu",2023-06-19T13:13:28.733Z,
