placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday,currentStatus,imgUrl,isClaimed,latitude,longitude,query,timestamp,info
https://www.google.be/maps/place/Frituur+Happy/data=!4m7!3m6!1s0x47c3a0a7d8dbcbf7:0x4a4d916a9a7f0253!8m2!3d50.8771635!4d3.8175052!16s%2Fg%2F1pxw891t6!19sChIJ98vb2Kegw0cRUwJ_mmqRTUo,Frituur Happy,4.5,578,Frituur,· Dine-in · Takeaway · No-contact delivery,"Buke 33, 9620 Zottegem, Belgium","VRG9+V2 Zottegem, Belgium",http://www.frituurhappy.be/,+32 9 361 13 06,"11:30 AM–2 PM, 5–9:30 PM","11:30 AM–2 PM, 5–9:30 PM","11:30 AM–2 PM, 5–9:30 PM","11:30 AM–2 PM, 5–9:30 PM","11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–9:30 PM",Closed,https://lh5.googleusercontent.com/p/AF1QipN1FEO4oQSCJKPZx9KL2-cj89FmyaZGjOC-FTMe=w408-h270-k-no,true,50.877187500000005,3.8175625000000224,"https://www.google.be/maps/search/frituur/@50.8999941,3.6533827,12z?entry=ttu",2023-06-19T13:41:16.485Z,
https://www.google.be/maps/place/Frituur+Marie-Jeanne/data=!4m7!3m6!1s0x47c30b3a34bdf9eb:0x560f99ab9fbf7e2b!8m2!3d50.9436496!4d3.8209927!16s%2Fg%2F11s0mt503w!19sChIJ6_m9NDoLw0cRK36_n6uZD1Y,Frituur Marie-Jeanne,4.0,184,Frituur,· Dine-in · Takeaway · No-contact delivery,"Houtemstraat 13, 9860 Oosterzele, Belgium","WRVC+F9 Oosterzele, Belgium",https://www.frituurmariejeanne.be/,+32 475 66 04 88,Closed,Closed,"11:30 AM–1:30 PM, 5–10 PM","11:30 AM–1:30 PM, 5–10 PM","11:30 AM–1:30 PM, 5–10 PM","11:30 AM–1:30 PM, 5–10 PM","11:30 AM–1:30 PM, 5–10 PM",Closed today,https://lh5.googleusercontent.com/p/AF1QipNmAkJbe4RHn2ttcl45jrv4t8E9FO253B-2MWnL=w408-h544-k-no,true,50.943687499999996,3.820937500000028,"https://www.google.be/maps/search/frituur/@50.8999941,3.6533827,12z?entry=ttu",2023-06-19T13:41:22.691Z,
https://www.google.be/maps/place/Marijke/data=!4m7!3m6!1s0x47c30d10ba756961:0xada0e1902ba7a0b6!8m2!3d50.9284376!4d3.6613586!16s%2Fg%2F1pxw8lwhj!19sChIJYWl1uhANw0cRtqCnK5DhoK0,Marijke,4.1,68,Frituur,· Dine-in · Takeaway · Delivery,"Molenstraat 17, 9890 Gavere, Belgium","WMH6+9G Gavere, Belgium",,+32 9 384 76 59,"11:30 AM–2 PM, 5–10 PM",Closed,Closed,Closed,"11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM",5–10 PM,Closed,https://lh5.googleusercontent.com/p/AF1QipNaNBP4DjKHQLD5dQJz_znZ3F3KXEbkNhtomm0j=w408-h544-k-no,true,50.928437500000015,3.661312499999994,"https://www.google.be/maps/search/frituur/@50.8999941,3.6533827,12z?entry=ttu",2023-06-19T13:41:27.510Z,
https://www.google.be/maps/place/Frituur+Sint+Anna+Bottelare/data=!4m7!3m6!1s0x47c37545c79c820d:0x892a8bf7fab57278!8m2!3d50.963029!4d3.7541811!16s%2Fg%2F11q7yw8ymk!19sChIJDYKcx0V1w0cReHK1-veLKok,Frituur Sint Anna Bottelare,4.9,75,Frituur,· Dine-in · Takeaway · Delivery,"Koning Albert I-Plein 15, 9820 Merelbeke, Belgium","XQ73+6M Merelbeke, Belgium",https://www.facebook.com/Frituur-Sint-Anna-103222251923774/,,Closed,5:30–9 PM,"11:30 AM–1:30 PM, 5:30–9:30 PM","11:30 AM–1:30 PM, 5:30–9:30 PM","11:30 AM–1:30 PM, 5–10 PM",5:30–9:30 PM,6–9:30 PM,Closed today,https://lh5.googleusercontent.com/p/AF1QipM4QhHje8jqr0HPQtXBcrU7Djz0lGMR_jhPlZFp=w408-h544-k-no,true,50.963062499999964,3.7541874999999862,"https://www.google.be/maps/search/frituur/@50.8999941,3.6533827,12z?entry=ttu",2023-06-19T13:41:33.712Z,
https://www.google.be/maps/place/Frituur+pita+twee+deuren/data=!4m7!3m6!1s0x47c30d6092528c1b:0xd91cd59cd43adffc!8m2!3d50.9341099!4d3.628744!16s%2Fg%2F11c5g3_fz3!19sChIJG4xSkmANw0cR_N861JzVHNk,Frituur pita twee deuren,4.1,149,Frituur,· Dine-in · Kerbside pickup · No-contact delivery,"Nieuwe Steenweg 10, 9810 Nazareth, Belgium","WJMH+JF Nazareth, Belgium",https://www.tweedeurennazareth.be/,+32 460 95 92 29,"12–2 PM, 5 PM–12 AM",Closed,"12–2 PM, 5 PM–12 AM","12–2 PM, 5 PM–12 AM","12–2 PM, 5 PM–12 AM","12–2 PM, 5 PM–12 AM","12–2 PM, 5 PM–12 AM",Closed,https://lh5.googleusercontent.com/p/AF1QipMAZpbJbWynY_ejxMalZ9OaJYY2rjNZT8hPj9Ww=w408-h306-k-no,true,50.934062499999996,3.628687499999998,"https://www.google.be/maps/search/frituur/@50.8999941,3.6533827,12z?entry=ttu",2023-06-19T13:41:40.549Z,Identifies as women-owned
https://www.google.be/maps/place/Frituur+De+Fijnproever/data=!4m7!3m6!1s0x47c317233177cb13:0x37128d3223b8ca3!8m2!3d50.8250841!4d3.4916917!16s%2Fg%2F11d_vd43sj!19sChIJE8t3MSMXw0cRo4w7ItMocQM,Frituur De Fijnproever,4.3,61,Frituur,· Dine-in · Takeaway · Delivery,"Bevrijdingslaan 1-13, 8570 Anzegem, Belgium","RFGR+2M Anzegem, Belgium",,,Closed,"11:30 AM–1:30 PM, 6–10 PM","11:30 AM–1:30 PM, 6–10 PM","11:30 AM–1:30 PM, 6–10 PM","11:30 AM–1:30 PM, 6–10 PM",Closed,Closed,Closed today,https://lh5.googleusercontent.com/p/AF1QipMBpPsh0mdMCWJxCZ_gPNP7GlQGaTXXm5raXOwh=w426-h240-k-no,false,50.825062500000016,3.491687499999969,"https://www.google.be/maps/search/frituur/@50.8999941,3.6533827,12z?entry=ttu",2023-06-19T13:41:47.984Z,
https://www.google.be/maps/place/Frituur+De+Wilg/data=!4m7!3m6!1s0x47c30e26a6986633:0xa74da1b2cc976e70!8m2!3d50.8460058!4d3.6191026!16s%2Fg%2F11dxf1wwd_!19sChIJM2aYpiYOw0cRcG6XzLKhTac,Frituur De Wilg,4.3,156,Frituur,· Dine-in · Takeaway · Delivery,"Aalststraat 259, 9700 Oudenaarde, Belgium","RJW9+CJ Oudenaarde, Belgium",http://www.frituur-dewilg.be/,+32 494 42 41 73,Closed,Closed,5:30–9 PM,5:30–9 PM,5:30–9:30 PM,5:30–9:30 PM,5:30–9 PM,Closed today,https://lh5.googleusercontent.com/p/AF1QipOGuTZX5rWbbdmm7lMmlfAFDLIBdYUYxMt0wAcz=w426-h240-k-no,true,50.8460625,3.6190624999999983,"https://www.google.be/maps/search/frituur/@50.8999941,3.6533827,12z?entry=ttu",2023-06-19T13:41:53.610Z,
https://www.google.be/maps/place/Flandrien/data=!4m7!3m6!1s0x47c30db10aa339cb:0xd156fc1925052950!8m2!3d50.9002826!4d3.6619422!16s%2Fg%2F1q5gngvqb!19sChIJyzmjCrENw0cRUCkFJRn8VtE,Flandrien,4.4,282,Frituur,· Dine-in · Takeaway · Delivery,"Nederzwalmsesteenweg 109A, 9750 Zingem, Belgium","WM26+4Q Kruisem, Belgium",http://www.frituurflandrien.be/,+32 486 51 05 44,"11 AM–1:45 PM, 5:30–9 PM","11 AM–1:45 PM, 5:30–9 PM","11 AM–1:45 PM, 5:30–9 PM","11 AM–1:45 PM, 5:30–9 PM","11 AM–1:45 PM, 5–9:30 PM","11 AM–1:45 PM, 5:30–9:30 PM","11 AM–1:45 PM, 5:30–9 PM",Closed,https://lh5.googleusercontent.com/p/AF1QipO9gkO2L5TMqNBDSHxlMF95cXoY1mlmtk2hlaiT=w408-h306-k-no,true,50.9003125,3.6619375000000076,"https://www.google.be/maps/search/frituur/@50.8999941,3.6533827,12z?entry=ttu",2023-06-19T13:41:58.947Z,
https://www.google.be/maps/place/Frituur+Sphinx/data=!4m7!3m6!1s0x47c36ca0591be2fb:0xde4dc11d2ab164b8!8m2!3d50.9775194!4d3.533475!16s%2Fg%2F1hc6zjq42!19sChIJ--IbWaBsw0cRuGSxKh3BTd4,Frituur Sphinx,4.1,181,Frituur,· Dine-in · Takeaway · Delivery,"Gaversesteenweg 10, 9800 Deinze, Belgium","XGHM+29 Deinze, Belgium",https://www.frituursphinx.be/,+32 485 35 11 18,Closed,"11:30 AM–2 PM, 5–11 PM","11:30 AM–2 PM, 5–11 PM","11:30 AM–2 PM, 5–11 PM","11:30 AM–2 PM, 5 PM–12 AM",5 PM–12 AM,"11:30 AM–2 PM, 5–11 PM",Closed today,https://lh5.googleusercontent.com/p/AF1QipNEeSkkYfIqG4QoQ3k7BumxlMI1LobAlnKMGUqw=w493-h240-k-no,true,50.97756249999999,3.533437500000005,"https://www.google.be/maps/search/frituur/@50.8999941,3.6533827,12z?entry=ttu",2023-06-19T13:42:05.698Z,
https://www.google.be/maps/place/De+Meersbloem/data=!4m7!3m6!1s0x47c311d2b02dd005:0xe001eb5586d2292a!8m2!3d50.8323936!4d3.5994484!16s%2Fg%2F11bzx28xkf!19sChIJBdAtsNIRw0cRKinShlXrAeA,De Meersbloem,4.5,508,Frituur,· Dine-in · Takeaway · Delivery,"Berchemweg 13, 9700 Oudenaarde, Belgium","RHJX+XQ Oudenaarde, Belgium",https://demeersbloem.htonline.be/nl/shop,+32 55 60 67 26,Closed,Closed,"11:30 AM–2 PM, 5:40–10 PM","11:30 AM–2 PM, 5:40–10 PM","11:30 AM–2 PM, 5:30–10 PM","11:30 AM–2 PM, 5:40–11 PM","11:30 AM–2 PM, 5:40–10 PM",Closed today,https://lh5.googleusercontent.com/p/AF1QipNubI-5_ku_83wtlNAf8tKz53ITl3NFN6PMzmcO=w426-h240-k-no,true,50.83243750000001,3.599437500000036,"https://www.google.be/maps/search/frituur/@50.8999941,3.6533827,12z?entry=ttu",2023-06-19T13:42:12.088Z,
