placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday,currentStatus,imgUrl,isClaimed,latitude,longitude,query,timestamp,info
https://www.google.com/maps/place/Frituur+Het+Hoekske/data=!4m7!3m6!1s0x47c38fa4f2876f71:0x6f44e86d453b408a!8m2!3d51.174883!4d4.1199391!16s%2Fg%2F11h8kvkz6v!19sChIJcW-H8qSPw0cRikA7RW3oRG8,Frituur Het Hoekske,3.3,56,Frituur,· Dine-in · Takeaway · Delivery,"Mispelstraat 1, 9100 Sint-Niklaas, Belgium","54F9+XX Sint-Niklaas, Belgium",http://www.frituurhethoekske.be/,+32 3 283 47 77,5–10 PM,5–10 PM,Closed,5–10 PM,5–10 PM,5–10 PM,5–10 PM,Closed,https://lh5.googleusercontent.com/p/AF1QipPP0QotoVFH-9S3DW3hI0ru4fohMTw0GxQsHh4=w426-h240-k-no,true,51.17493750000001,4.119937500000006,"https://www.google.com/maps/search/frituur/@51.1709822,4.0068964,11.63z?entry=ttu",2023-06-19T13:18:35.310Z,
https://www.google.com/maps/place/Frituur+Conny+%26+Franky/data=!4m7!3m6!1s0x47c38ec1b996c73d:0xb826211802786aa4!8m2!3d51.171145!4d4.127612!16s%2Fg%2F1tdjq9f7!19sChIJPceWucGOw0cRpGp4AhghJrg,Frituur Conny & Franky,4.5,376,Frituur,· Dine-in · Takeaway · No-contact delivery,"Plezantstraat 325, 9100 Sint-Niklaas, Belgium","54CH+F2 Sint-Niklaas, Belgium",http://www.frituurconnyenfranky.be/,+32 483 48 84 41,5–9:30 PM,5–9:30 PM,5–9:30 PM,5–9:30 PM,4:45–10 PM,5–10 PM,5–10 PM,Closed,https://lh5.googleusercontent.com/p/AF1QipNxI4tzhhquSvgKRqJ5Rk5q3Bst2MwyaJr5totV=w408-h306-k-no,true,51.171187500000016,4.127562499999996,"https://www.google.com/maps/search/frituur/@51.1709822,4.0068964,11.63z?entry=ttu",2023-06-19T13:18:42.328Z,LGBTQ+ friendly
https://www.google.com/maps/place/Frituur+%27T+Wiel/data=!4m7!3m6!1s0x47c39bb38c75c233:0x33412186e221c6d0!8m2!3d51.1069195!4d3.9868751!16s%2Fg%2F11gjmts6f5!19sChIJM8J1jLObw0cR0MYh4oYhQTM,Frituur 'T Wiel,4.4,74,Frituur,· Dine-in · Takeaway · Delivery,"Stationsstraat 44, 9160 Lokeren, Belgium","4X4P+QQ Lokeren, Belgium",https://www.facebook.com/Frituur-t-Wiel-107788234135922/,+32 491 76 32 77,5–9:30 PM,5–9:30 PM,5–9:30 PM,Closed,5–10 PM,5–10 PM,5–9:30 PM,Closed,https://lh5.googleusercontent.com/p/AF1QipNb7JcWia7Y-8SIe0GYmuvkUNsmI5nOveY3lYz0=w408-h544-k-no,true,51.1069375,3.9869374999999962,"https://www.google.com/maps/search/frituur/@51.1709822,4.0068964,11.63z?entry=ttu",2023-06-19T13:18:47.150Z,
https://www.google.com/maps/place/Frituur+%E2%80%98t+Eet+Petetje/data=!4m7!3m6!1s0x47c38dc0493a4f63:0x414c7416395722aa!8m2!3d51.1776537!4d4.1902354!16s%2Fg%2F11h7fnhx1_!19sChIJY086ScCNw0cRqiJXORZ0TEE,Frituur ‘t Eet Petetje,4.0,181,Frituur,· Dine-in · Kerbside pickup · Delivery,"Ster 53b, 9100 Sint-Niklaas, Belgium","55HR+33 Sint-Niklaas, Belgium",https://www.one2three.app/teetpetetje/menu,+32 3 435 38 21,Closed,Closed,9 AM–8 PM,9 AM–8 PM,9 AM–9 PM,4–8:30 PM,9 AM–8:30 PM,Closed today,https://lh5.googleusercontent.com/p/AF1QipNejpwB8J_aKiImg_GjCw8CnkzF1VOL8jhtcrob=w408-h318-k-no,true,51.177687500000005,4.190187499999993,"https://www.google.com/maps/search/frituur/@51.1709822,4.0068964,11.63z?entry=ttu",2023-06-19T13:18:52.205Z,
https://www.google.com/maps/place/%27%27t+Frietje%27/data=!4m7!3m6!1s0x47c39ac47e2e66fb:0xbdfb510560a1fc9a!8m2!3d51.0960307!4d4.0097598!16s%2Fg%2F1thp74k2!19sChIJ-2YufsSaw0cRmvyhYAVR-70,'t Frietje,4.4,214,Frituur,· Dine-in · Takeaway,"Zelebaan 66, 9160 Lokeren, Belgium","32W5+CW Lokeren, Belgium",http://www.tfrietje.be/,+32 473 29 99 11,Closed,"11:30 AM–2 PM, 4:30–10 PM","11:30 AM–2 PM, 4:30–10 PM","11:30 AM–2 PM, 4:30–10 PM","11:30 AM–2 PM, 4:30–10 PM","11:30 AM–2 PM, 4:30–10 PM","11:30 AM–2 PM, 4:30–10 PM",Closed today,https://lh5.googleusercontent.com/p/AF1QipMusP--5UE6CfxY8VZctqvYyaMO971fdHWqyUfj=w472-h240-k-no,true,51.0960625,4.009812499999995,"https://www.google.com/maps/search/frituur/@51.1709822,4.0068964,11.63z?entry=ttu",2023-06-19T13:18:58.843Z,Identifies as women-owned
https://www.google.com/maps/place/Den+Dam/data=!4m7!3m6!1s0x47c39b2fe9294def:0x9c6b0c2a419db37e!8m2!3d51.102254!4d3.9845313!16s%2Fg%2F11c1lynl5b!19sChIJ700p6S-bw0cRfrOdQSoMa5w,Den Dam,4.6,180,Frituur,· Dine-in · Takeaway · Delivery,"Kleine Dam 48, 9160 Lokeren, Belgium","4X2M+WR Lokeren, Belgium",http://www.frituurdendam.be/,+32 488 76 25 90,"11:30 AM–1:30 PM, 5–11 PM","11:30 AM–1:30 PM, 5–11 PM","11:30 AM–1:30 PM, 5–11 PM","11:30 AM–1:30 PM, 5–11 PM","11:30 AM–1:30 PM, 5–10 PM",Closed,Closed,Closed,https://lh5.googleusercontent.com/p/AF1QipOL44UHwQNim1Rh9lU6Eec24ghrzIOHi9jLTUhc=w426-h240-k-no,false,51.1023125,3.9845624999999956,"https://www.google.com/maps/search/frituur/@51.1709822,4.0068964,11.63z?entry=ttu",2023-06-19T13:19:03.799Z,
https://www.google.com/maps/place/Frituur+bij+Sarah+%26+Kristel/data=!4m7!3m6!1s0x47c384d5074910cf:0x25ede79964a232be!8m2!3d51.1133797!4d3.990967!16s%2Fg%2F11bxdtntzf!19sChIJzxBJB9WEw0cRvjKiZJnn7SU,Frituur bij Sarah & Kristel,4.6,237,Frituur,· Dine-in · Takeaway · Delivery,"Oude Heerweg 2a, 9160 Lokeren, Belgium","4X7R+99 Lokeren, Belgium",http://frituursarah.be/,+32 493 19 11 19,Closed,"11:30 AM–1:30 PM, 5–9 PM","11:30 AM–1:30 PM, 5–9 PM","11:30 AM–1:30 PM, 5–9 PM","11:30 AM–1:30 PM, 5–9 PM","11:30 AM–1:30 PM, 5–9 PM","11:30 AM–1:30 PM, 5–9 PM",Closed today,https://lh5.googleusercontent.com/p/AF1QipO9CDzEjgTRb-PZJW6U2n48CYVfQVEvdYxtvWEW=w426-h240-k-no,true,51.11343749999999,3.990937499999987,"https://www.google.com/maps/search/frituur/@51.1709822,4.0068964,11.63z?entry=ttu",2023-06-19T13:19:09.099Z,
https://www.google.com/maps/place/Smulboetiek/data=!4m7!3m6!1s0x47c38eba6298c631:0x384e17057e5bd6b7!8m2!3d51.1788711!4d4.1423876!16s%2Fg%2F1pp2tk2lc!19sChIJMcaYYrqOw0cRt9ZbfgUXTjg,Smulboetiek,4.5,89,Frituur,· Dine-in · Takeaway · Delivery,"Lepelhoekstraat 37, 9100 Sint-Niklaas, Belgium","54HR+GX Sint-Niklaas, Belgium",,,Closed,4:30–10 PM,4:30–10 PM,4:30–10 PM,4:30–10 PM,"12–2 PM, 4:30–10 PM","12–2 PM, 4:30–10 PM",Closed today,https://lh5.googleusercontent.com/p/AF1QipO-n6y7NrD-2uSQRuH-Rgtw38EsSd4lGl9fJBmE=w426-h240-k-no,true,51.17881250000001,4.142437499999986,"https://www.google.com/maps/search/frituur/@51.1709822,4.0068964,11.63z?entry=ttu",2023-06-19T13:19:13.764Z,
https://www.google.com/maps/place/frying+Amarillo/data=!4m7!3m6!1s0x47c38ebd36538909:0x8d84893828f9aab5!8m2!3d51.1704484!4d4.1435349!16s%2Fg%2F1tdnk8gn!19sChIJCYlTNr2Ow0cRtar5KDiJhI0,frying Amarillo,4.4,142,Frituur,· Dine-in · Kerbside pickup · Delivery,"Mercatorstraat 1, 9100 Sint-Niklaas, Belgium","54CV+5C Sint-Niklaas, Belgium",,+32 3 766 56 14,Closed,Closed,5–9 PM,5–9 PM,5–9 PM,5–9 PM,5–9 PM,Closed today,https://lh5.googleusercontent.com/p/AF1QipMr3UdMrzh_MNSxg8-6anZX0QdLbGREtZxieTF1=w426-h240-k-no,true,51.170437500000006,4.143562499999987,"https://www.google.com/maps/search/frituur/@51.1709822,4.0068964,11.63z?entry=ttu",2023-06-19T13:19:19.884Z,
https://www.google.com/maps/place/Frituur+Papas/data=!4m7!3m6!1s0x47c377e8047f8abf:0x8fa665d4d073d4c!8m2!3d51.0963143!4d3.8323469!16s%2Fg%2F11bzs5mgtc!19sChIJv4p_BOh3w0cRTD0HTV1m-gg,Frituur Papas,4.5,343,Frituur,· Dine-in · Takeaway · Delivery,"Dorp-West 22, 9080 Lochristi, Belgium","3RWJ+GW Lochristi, Belgium",https://heytom.eu/frituurpapas,+32 9 336 64 69,"11:30 AM–1:30 PM, 5:30–10 PM","11:30 AM–1:30 PM, 5:30–10 PM","11:30 AM–1:30 PM, 5:30–10 PM","11:30 AM–1:30 PM, 5:30–10 PM","11:30 AM–1:30 PM, 5–10 PM","11:30 AM–1:30 PM, 5–10 PM","11:30 AM–1:30 PM, 5:30–10 PM",Closed,https://lh5.googleusercontent.com/p/AF1QipPMXx4nJNwOivEbn1Hwzbpki4v_iBaNnY8Ompqi=w426-h240-k-no,true,51.096312499999996,3.8323125000000147,"https://www.google.com/maps/search/frituur/@51.1709822,4.0068964,11.63z?entry=ttu",2023-06-19T13:19:24.339Z,
