placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday,currentStatus,imgUrl,isClaimed,latitude,longitude,query,timestamp,info
https://www.google.be/maps/place/Frituur+%27t+lekker+bouletje/data=!4m7!3m6!1s0x47c3fb665e36c723:0xd6e73ad758defe6a!8m2!3d51.0948902!4d4.5002976!16s%2Fg%2F11fvc599yq!19sChIJI8c2Xmb7w0cRav7eWNc659Y,Frituur 't lekker bouletje,4.5,108,Frituur,· Dine-in · Takeaway · Delivery,"Kerkstraat 30, 2570 Duffel, Belgium","3GV2+X4 Duffel, Belgium",https://www.facebook.com/tlekkerbouletje/,,5–8:30 PM,Closed,5–8:30 PM,"11:45 AM–1:15 PM, 5–8:30 PM","11:45 AM–1:15 PM, 5–9 PM",5–9 PM,5–9 PM,Closed,https://lh5.googleusercontent.com/p/AF1QipOmJoO7Ej1NjrVKsqDg3KMthBiQChx-1Iw-Ky4b=w426-h240-k-no,true,51.0949375,4.500312499999993,"https://www.google.be/maps/search/frituur/@51.2651198,4.8604541,10.94z?entry=ttu",2023-06-19T14:16:37.930Z,
https://www.google.be/maps/place/Frituur+Kievit/data=!4m7!3m6!1s0x47c3fafba2061e05:0x3c8714b75103ef20!8m2!3d51.1275108!4d4.4957089!16s%2Fg%2F1tfj2b9c!19sChIJBR4Govv6w0cRIO8DUbcUhzw,Frituur Kievit,4.7,283,Frituur,· Dine-in · Takeaway · Delivery,"Koning Albertstraat 17, 2547 Lint, Belgium","4FHW+27 Lint, Belgium",https://frituurkievit.one2three.app/,+32 3 455 61 14,Closed,Closed,"11:30 AM–1:30 PM, 4:30–10 PM","11:30 AM–1:30 PM, 4:30–10 PM","11:30 AM–1:30 PM, 4:30–10 PM","11:30 AM–1:30 PM, 4:30–10 PM",Closed,Closed today,https://lh5.googleusercontent.com/p/AF1QipPXv3LdUA8qZQ4vFT8O42VPJCGLNJulec2tioOD=w408-h306-k-no,true,51.127562499999996,4.495687499999988,"https://www.google.be/maps/search/frituur/@51.2651198,4.8604541,10.94z?entry=ttu",2023-06-19T14:16:44.722Z,
https://www.google.be/maps/place/Frituur+%27t+Park/data=!4m7!3m6!1s0x47c6b24a7c8ae6d9:0x19cc0505aff851db!8m2!3d51.305332!4d4.9383259!16s%2Fg%2F1tmkk5rc!19sChIJ2eaKfEqyxkcR21H4rwUFzBk,Frituur 't Park,4.4,90,Frituur,· Dine-in · Takeaway · Delivery,"Lode Peetersplantsoen 5, 2300 Turnhout, Belgium","8W4Q+48 Turnhout, Belgium",https://frituurtpark.business.site/?utm_source=gmb&utm_medium=referral,+32 14 74 88 30,Closed,Closed,"11:45 AM–1:30 PM, 4–9 PM","11:45 AM–1:30 PM, 4–9 PM","11:45 AM–1:30 PM, 4–9 PM",4–9 PM,4–9 PM,Closed today,https://lh5.googleusercontent.com/p/AF1QipN6lyK5JvuE2EvVVL3dd2QgX-8GGjPEMOr5fqTu=w408-h406-k-no,true,51.3053125,4.938312500000009,"https://www.google.be/maps/search/frituur/@51.2651198,4.8604541,10.94z?entry=ttu",2023-06-19T14:16:50.059Z,LGBTQ+ friendly
https://www.google.be/maps/place/Frituur+Anneke+en+Stanneke/data=!4m7!3m6!1s0x47c3fb328f22ed89:0xfcca187864530675!8m2!3d51.094784!4d4.511885!16s%2Fg%2F1hd_5z4x2!19sChIJie0ijzL7w0cRdQZTZHgYyvw,Frituur Anneke en Stanneke,4.5,216,Frituur,· Dine-in · Takeaway · Delivery,"Kwakkelenberg 28, 2570 Duffel, Belgium","3GV6+WQ Duffel, Belgium",,+32 15 32 30 06,Closed,Closed,4:30–11:30 PM,4:30–11:30 PM,4–11:30 PM,4:30–10 PM,4:30–9:30 PM,Closed today,https://lh5.googleusercontent.com/p/AF1QipOsUtkOIzRsWzvjUWgyIMB_CjXYxxp56YTngGxr=w408-h306-k-no,true,51.0948125,4.511937500000002,"https://www.google.be/maps/search/frituur/@51.2651198,4.8604541,10.94z?entry=ttu",2023-06-19T14:16:55.593Z,
https://www.google.be/maps/place/Frituur+t+Smullhuis/data=!4m7!3m6!1s0x47c135aba153473f:0xb577c2805fe30892!8m2!3d51.1894718!4d5.1226891!16s%2Fg%2F11g87cxtk5!19sChIJP0dToas1wUcRkgjjX4DCd7U,Frituur t Smullhuis,3.7,101,Frituur,· Dine-in · Takeaway · Delivery,"Rozenberg 56, 2400 Mol, Belgium","54QF+Q3 Mol, Belgium",,+32 14 72 01 79,Closed,Closed,"11 AM–2 PM, 4–9 PM","11 AM–2 PM, 4–9 PM","11 AM–2 PM, 4–9 PM","11 AM–2 PM, 4–9 PM","11 AM–2 PM, 4–9 PM",Closed today,https://lh5.googleusercontent.com/p/AF1QipO4rfVTjFlPew4jvBlAL56LWAhZTSx7knQ7HpvP=w408-h544-k-no,true,51.18943750000001,5.122687499999998,"https://www.google.be/maps/search/frituur/@51.2651198,4.8604541,10.94z?entry=ttu",2023-06-19T14:17:00.077Z,
https://www.google.be/maps/place/Frituur+onder+den+toren/data=!4m7!3m6!1s0x47c14b7c2606d4c3:0xdbc453720d7ea09b!8m2!3d51.2048912!4d4.9792471!16s%2Fg%2F11gh3d34b7!19sChIJw9QGJnxLwUcRm6B-DXJTxNs,Frituur onder den toren,4.5,50,Frituur,· Dine-in · Takeaway · Delivery,"Vaartstraat 84/56, 2440, 2440 Geel, Belgium","6X3H+XM Geel, Belgium",https://onder-d-n-toren.unipage.eu/,+32 14 22 19 99,Closed,Closed,11:30 AM–10 PM,11:30 AM–10 PM,11:30 AM–10 PM,4–10 PM,11:30 AM–10 PM,Closed today,https://lh5.googleusercontent.com/p/AF1QipOcv5LVzFn3coABWqmkUUTQh3bRUOgzz7zAOxKa=w408-h306-k-no,false,51.204937499999986,4.979187499999981,"https://www.google.be/maps/search/frituur/@51.2651198,4.8604541,10.94z?entry=ttu",2023-06-19T14:17:05.764Z,
https://www.google.be/maps/place/Frituur+De+Vliegplein/data=!4m7!3m6!1s0x47c4072cfb2e89d9:0xbeb9633f529122a9!8m2!3d51.2922265!4d4.5787658!16s%2Fg%2F11cry0b38_!19sChIJ2Yku-ywHxEcRqSKRUj9jub4,Frituur De Vliegplein,4.5,175,Frituur,,"Kerklei 18, 2960 Brecht, Belgium","7HRH+VG Brecht, Belgium",,,5–9 PM,5–9 PM,Closed,Closed,5–9 PM,5–9 PM,5–9 PM,Closed,https://lh5.googleusercontent.com/p/AF1QipPNPn2NMCe5f61Exxy0XAlVUDC25qhWPF7pGfCf=w426-h240-k-no,true,51.2921875,4.578812500000012,"https://www.google.be/maps/search/frituur/@51.2651198,4.8604541,10.94z?entry=ttu",2023-06-19T14:17:10.152Z,Identifies as women-owned
https://www.google.be/maps/place/Frituur+%27Fritske%27/data=!4m7!3m6!1s0x47c3fd65cbf4dba7:0x2cac9ea92a6a671a!8m2!3d51.1146263!4d4.6436228!16s%2Fg%2F1v93_6zd!19sChIJp9v0y2X9w0cRGmdqKqmerCw,Frituur 'Fritske',4.1,67,Frituur,,"Stationsstraat 158, 2590 Berlaar, Belgium","4J7V+VC Berlaar, Belgium",https://m.facebook.com/fritskefrituur/,+32 3 482 38 34,4:30–8 PM,4:30–8 PM,Closed,4:30–8 PM,4:30–8:30 PM,4:30–8:30 PM,4:30–8:30 PM,Closed,https://lh5.googleusercontent.com/p/AF1QipMBZYyevnrdpYOn8GCHawFVygNnGYEwCt6-aPO-=w426-h240-k-no,true,51.11468749999999,4.643562499999987,"https://www.google.be/maps/search/frituur/@51.2651198,4.8604541,10.94z?entry=ttu",2023-06-19T14:17:14.933Z,
https://www.google.be/maps/place/Frituur+den+dijk/data=!4m7!3m6!1s0x47c6bb9170f841db:0xd4d3d2cc08018012!8m2!3d51.4108041!4d4.9998066!16s%2Fg%2F11jfqwkcmg!19sChIJ20H4cJG7xkcREoABCMzS09Q,Frituur den dijk,4.3,49,Frituur,· Dine-in · Takeaway · Delivery,"Koning Albertstraat 125, 2381 Ravels, Belgium","CX6X+8W Ravels, Belgium",http://www.frituurdendijk.be/,+32 14 26 55 57,11 AM–10 PM,Closed,Closed,11 AM–10 PM,11 AM–10 PM,11 AM–10 PM,11 AM–10 PM,Open now,https://lh5.googleusercontent.com/p/AF1QipOllHeDhFV0esWw19bkaDoLb--DWRsvvfB33ag=w408-h306-k-no,true,51.410812500000006,4.999812500000004,"https://www.google.be/maps/search/frituur/@51.2651198,4.8604541,10.94z?entry=ttu",2023-06-19T14:17:19.651Z,
https://www.google.be/maps/place/Frituur+bij+de+Kiek/data=!4m7!3m6!1s0x47c15238e944df3f:0x7eac3d5de5ff508b!8m2!3d51.1828713!4d4.8349205!16s%2Fg%2F11bw_66037!19sChIJP99E6ThSwUcRi1D_5V09rH4,Frituur bij de Kiek,4.5,141,Frituur,· Dine-in · Takeaway · Delivery,"1, Nederrij 23, 2200 Herentals, Belgium","5RMM+4X Herentals, Belgium",,+32 14 23 73 41,11 AM–10:30 PM,11 AM–10:30 PM,Closed,Closed,11 AM–11:30 PM,11 AM–11:30 PM,11 AM–10:30 PM,Open now,https://lh5.googleusercontent.com/p/AF1QipNTlKeFluaswowyVlfUgQKU_Fe4psAhs_LxnVYP=w408-h544-k-no,true,51.1828125,4.834937500000009,"https://www.google.be/maps/search/frituur/@51.2651198,4.8604541,10.94z?entry=ttu",2023-06-19T14:17:24.442Z,
