placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday,currentStatus,imgUrl,isClaimed,latitude,longitude,query,timestamp,info
https://www.google.be/maps/place/Den+Dam/data=!4m7!3m6!1s0x47c39b2fe9294def:0x9c6b0c2a419db37e!8m2!3d51.102254!4d3.9845313!16s%2Fg%2F11c1lynl5b!19sChIJ700p6S-bw0cRfrOdQSoMa5w,Den Dam,4.6,180,Frituur,· Dine-in · Takeaway · Delivery,"Kleine Dam 48, 9160 Lokeren, Belgium","4X2M+WR Lokeren, Belgium",http://www.frituurdendam.be/,+32 488 76 25 90,"11:30 AM–1:30 PM, 5–11 PM","11:30 AM–1:30 PM, 5–11 PM","11:30 AM–1:30 PM, 5–11 PM","11:30 AM–1:30 PM, 5–11 PM","11:30 AM–1:30 PM, 5–10 PM",Closed,Closed,Closed,https://lh5.googleusercontent.com/p/AF1QipOL44UHwQNim1Rh9lU6Eec24ghrzIOHi9jLTUhc=w426-h240-k-no,false,51.1023125,3.9845624999999956,"https://www.google.be/maps/search/frituur/@51.0195473,4.1568624,11.89z?entry=ttu",2023-06-19T13:58:21.850Z,
https://www.google.be/maps/place/Frituur+%27T+Wiel/data=!4m7!3m6!1s0x47c39bb38c75c233:0x33412186e221c6d0!8m2!3d51.1069195!4d3.9868751!16s%2Fg%2F11gjmts6f5!19sChIJM8J1jLObw0cR0MYh4oYhQTM,Frituur 'T Wiel,4.4,74,Frituur,· Dine-in · Takeaway · Delivery,"Stationsstraat 44, 9160 Lokeren, Belgium","4X4P+QQ Lokeren, Belgium",https://www.facebook.com/Frituur-t-Wiel-107788234135922/,+32 491 76 32 77,5–9:30 PM,5–9:30 PM,5–9:30 PM,Closed,5–10 PM,5–10 PM,5–9:30 PM,Closed,https://lh5.googleusercontent.com/p/AF1QipNb7JcWia7Y-8SIe0GYmuvkUNsmI5nOveY3lYz0=w408-h544-k-no,true,51.1069375,3.9869374999999962,"https://www.google.be/maps/search/frituur/@51.0195473,4.1568624,11.89z?entry=ttu",2023-06-19T13:58:28.637Z,
https://www.google.be/maps/place/Frituur+%27t+Vuystjen/data=!4m7!3m6!1s0x47c39b22170a726b:0x77fec31babab4fc6!8m2!3d51.0917209!4d3.9872918!16s%2Fg%2F11bzx5bjk5!19sChIJa3IKFyKbw0cRxk-rqxvD_nc,Frituur 't Vuystjen,,,Frituur,,"Naastveldstraat 70, 9160 Lokeren, Belgium","3XRP+MW Lokeren, Belgium",,+32 9 279 22 85,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1-ZIhfdzgwpoxdC-eYKzKg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=196.01552&pitch=0&thumbfov=100,false,51.09168749999999,3.9873124999999874,"https://www.google.be/maps/search/frituur/@51.0195473,4.1568624,11.89z?entry=ttu",2023-06-19T13:58:33.097Z,
https://www.google.be/maps/place/%27%27t+Frietje%27/data=!4m7!3m6!1s0x47c39ac47e2e66fb:0xbdfb510560a1fc9a!8m2!3d51.0960307!4d4.0097598!16s%2Fg%2F1thp74k2!19sChIJ-2YufsSaw0cRmvyhYAVR-70,'t Frietje,4.4,214,Frituur,· Dine-in · Takeaway,"Zelebaan 66, 9160 Lokeren, Belgium","32W5+CW Lokeren, Belgium",http://www.tfrietje.be/,+32 473 29 99 11,Closed,"11:30 AM–2 PM, 4:30–10 PM","11:30 AM–2 PM, 4:30–10 PM","11:30 AM–2 PM, 4:30–10 PM","11:30 AM–2 PM, 4:30–10 PM","11:30 AM–2 PM, 4:30–10 PM","11:30 AM–2 PM, 4:30–10 PM",Closed today,https://lh5.googleusercontent.com/p/AF1QipMusP--5UE6CfxY8VZctqvYyaMO971fdHWqyUfj=w472-h240-k-no,true,51.0960625,4.009812499999995,"https://www.google.be/maps/search/frituur/@51.0195473,4.1568624,11.89z?entry=ttu",2023-06-19T13:58:38.650Z,Identifies as women-owned
https://www.google.be/maps/place/Frituur+%27t+Dolfijntje/data=!4m7!3m6!1s0x47c39bc0bbe416b5:0x3b02a6000595f9fc!8m2!3d51.0485452!4d3.9685341!16s%2Fg%2F11bwzkx_p2!19sChIJtRbku8Cbw0cR_PmVBQCmAjs,Frituur 't Dolfijntje,4.3,121,Frituur,· Dine-in · Takeaway · Delivery,"90, Dendermondse Steenweg 60, 9290 Berlare, Belgium","2XX9+CC Berlare, Belgium",https://www.openingsurengids.be/t-dolfijntje/berlare/1,,Closed,Closed,5–10 PM,5–10 PM,"11:30 AM–2 PM, 5–10 PM","11:30 AM–2 PM, 5–10 PM",5–10 PM,Closed today,https://lh5.googleusercontent.com/p/AF1QipO_bWImNBPN8bit5A9omoJduu8WpzZ2_mAo7H18=w408-h306-k-no,false,51.04856250000002,3.9685625000000044,"https://www.google.be/maps/search/frituur/@51.0195473,4.1568624,11.89z?entry=ttu",2023-06-19T13:58:45.298Z,
https://www.google.be/maps/place/Frituur+De+Kegel/data=!4m7!3m6!1s0x47c396571f38af8b:0x48fb661f06f4bcc4!8m2!3d50.9789097!4d4.0879769!16s%2Fg%2F11f11lj1_g!19sChIJi684H1eWw0cRxLz0Bh9m-0g,Frituur De Kegel,4.2,63,Frituur,· Dine-in · Kerbside pickup · Delivery,"Aalstersestraat 141A, 9280 Lebbeke, Belgium","X3HQ+H5 Lebbeke, Belgium",http://www.facebook.com/frituurdekegel,,5–10 PM,5–10 PM,5–10 PM,Closed,"11:30 AM–1:29 PM, 4:30–10 PM",5–10 PM,5–9 PM,Closed,https://lh5.googleusercontent.com/p/AF1QipNKngCPtI0Ekrqwmxr24LWg4YcTyfDYeNhcrRuZ=w408-h725-k-no,true,50.97893749999999,4.087937499999995,"https://www.google.be/maps/search/frituur/@51.0195473,4.1568624,11.89z?entry=ttu",2023-06-19T13:58:52.345Z,
https://www.google.be/maps/place/Frituur+Fabiola/data=!4m7!3m6!1s0x47c3973ed70ca36d:0x4af5e195cf34f7a4!8m2!3d51.0091779!4d4.0610798!16s%2Fg%2F11f3mbjzv_!19sChIJbaMM1z6Xw0cRpPc0z5Xh9Uo,Frituur Fabiola,4.4,98,Frituur,· Dine-in · Takeaway · Delivery,"Hofstraat 1, 9200 Dendermonde, Belgium","2356+MC Dendermonde, Belgium",https://www.vindeenfrituur.be/frituren/oost-vlaanderen/oudegem--9200/frituur-fabiola/1319/,+32 52 57 77 10,Closed,Closed,Closed,4:30–9 PM,"11:30 AM–1:30 PM, 4:30–10 PM",4:30–10 PM,4:30–10 PM,Closed today,https://lh5.googleusercontent.com/p/AF1QipOel2hOQe8vfPi92AFLugrVhfNyw5mvaTPwJ21P=w426-h240-k-no,true,51.00918749999998,4.061062500000006,"https://www.google.be/maps/search/frituur/@51.0195473,4.1568624,11.89z?entry=ttu",2023-06-19T13:58:59.534Z,
https://www.google.be/maps/place/Het+Gouden+Fritje/data=!4m7!3m6!1s0x47c393118e73ec85:0x80b4d1fb664fe70b!8m2!3d51.0472778!4d4.2033022!16s%2Fg%2F11ckvnyglv!19sChIJhexzjhGTw0cRC-dPZvvRtIA,Het Gouden Fritje,4.7,145,Frituur,· Dine-in · Takeaway · Delivery,"Spoorweglaan 28, 2890 Puurs-Sint-Amands, Belgium","26W3+W8 Puurs-Sint-Amands, Belgium",,,Closed,Closed,5–10 PM,5–10 PM,5–10 PM,5–10 PM,5–10 PM,Closed today,https://lh5.googleusercontent.com/p/AF1QipMTPej7UKBQ-D03-uUTCOVvmj0CYyceZU8lSe_Q=w426-h240-k-no,true,51.04731249999999,4.203312499999996,"https://www.google.be/maps/search/frituur/@51.0195473,4.1568624,11.89z?entry=ttu",2023-06-19T13:59:05.250Z,
https://www.google.be/maps/place/Frituur+%27t+Dorp/data=!4m7!3m6!1s0x47c3911193250cbf:0x674feb52e1292943!8m2!3d51.0537385!4d4.1070626!16s%2Fg%2F1jgm2v6z1!19sChIJvwwlkxGRw0cRQykp4VLrT2c,Frituur 't Dorp,4.4,62,Frituur,· Dine-in · Takeaway · Delivery,"Smidsestraat 9, 9200 Dendermonde, Belgium","3434+FR Dendermonde, Belgium",https://www.vindeenfrituur.be/frituren/oost-vlaanderen/grembergen--9200/-039-t-dorp/3840/,+32 52 52 93 62,Closed,5–9 PM,5–9 PM,5–9 PM,5–10 PM,5–10 PM,5–9 PM,Closed today,https://lh5.googleusercontent.com/p/AF1QipMzToGx-42KosnKIsdNpEWDfqD5wNhg_ZDgYT8=w408-h306-k-no,true,51.05368750000001,4.107062499999998,"https://www.google.be/maps/search/frituur/@51.0195473,4.1568624,11.89z?entry=ttu",2023-06-19T13:59:12.769Z,
https://www.google.be/maps/place/%27%27t+Frit-uurke%27/data=!4m7!3m6!1s0x47c3eb8f3c907e47:0x753a7d24aedc0430!8m2!3d51.010697!4d4.2982626!16s%2Fg%2F11gbwl6k60!19sChIJR36QPI_rw0cRMATcriR9OnU,'t Frit-uurke,4.4,113,Frituur,,"Klein Holland 31, 1840 Londerzeel, Belgium","276X+78 Londerzeel, Belgium",http://www.koendevroede.be/,,Closed,Closed,5–9 PM,5–9 PM,5–9 PM,5–9 PM,5–9 PM,Closed today,https://lh5.googleusercontent.com/p/AF1QipPT2qi4xwlT2FkWLU1tMJDM3p3yi1Q90N8mLZRj=w408-h544-k-no,false,51.0106875,4.298312500000023,"https://www.google.be/maps/search/frituur/@51.0195473,4.1568624,11.89z?entry=ttu",2023-06-19T13:59:19.221Z,
